PRODUTOS,VALOR VENDA ,CUSTO PRODUTO,MÊS,RECEITA,LUCRO ,NÚMERO DE PRODUTOS VENDIDOS,CATEGORIA
 PLAFON LED 12W 3000K QUADRADO TLPQ PAINEL DE LED BRANCO,45,21.69, FEVEREIRO,450,233.1,10,PLAFON
 Tartaruga TTL 05 retangular 1xG9 3000K 127V LED BR,100,69.12, FEVEREIRO,300,92.64,3,Tartaruga
 PENDENTE TD 902 PRETO TEXTURARIZADO GRANDE,500,317.79, FEVEREIRO,0,0,0,PENDENTE
 PENDENTE TD 902 BRANCO TEXTURARIZADO,270,137.09, FEVEREIRO,0,0,0,PENDENTE
 LAMP LED TDL 07 6W 4000K GU-10,30,17.36, FEVEREIRO,1080,455.04,36,LAMP
 REFLETOR LED 50W SLIM 6500K PRETO,140,63.9, MARÇO,1540,837.1,11,REFLETOR
 LAMPADA LED TKL60 12W 3000K 1018LM,16,7.99, MARÇO,2848,1425.78,178,LAMPADA
 PAINEL DE LED LUX 62X62 36W SOBREPOR 4000K,350,191, MARÇO,5250,2385,15,PAINEL
 PAINEL DE LED LUX 62X62 36W SOBREPOR 3000K,350,191, MARÇO,4200,1908,12,PAINEL
 PAINEL LED LUX 62X62 36W EMBUTIR 4000K 2520LM,315,174.99, MARÇO,3150,1400.1,10,PAINEL
 PAINEL LED LUX 40X40 SPBREPOR 4000K,260,157.5, MARÇO,3120,1230,12,PAINEL
 PAINEL LED LUX 40X40 32W 4000K EMBUTIT,220,110.64, MARÇO,1760,874.88,8,PAINEL
 PLAFON LED 24w QUADRADO SOBREPOR 4000K,90,41.49, MARÇO,2070,1115.73,23,PLAFON
 PAINEL LED 18W LUX QUADRADO SOBREPOR 4000K,55,28.32, MARÇO,1430,693.68,26,PAINEL
 PAINEL LED 12W QUADRADO SOBREPOR 4000K,40,22.66, MARÇO,360,156.06,9,PAINEL
 PAINEL LED 18W LUX REDONDO QUADRADO SOBREPOR 4000K,50,24.24, MARÇO,1250,644,25,PAINEL
 PLAFON 18W QUADRADO EMBUTIE 4000K,55,25.2, MARÇO,1375,745,25,PLAFON
 PAINEL LED 12W REDONDO EMBUTIR 4000K,35,20.22, MARÇO,175,73.9,5,PAINEL
 PENDENTE TASCHIBRA TEARS 5XE27 PRETA,250,134.56, MARÇO,500,230.88,2,PENDENTE
 DRIVE PARA PAINEL LED 24W AUTOVOLT,25,11.33, MARÇO,400,218.72,16,DRIVE
 DRIVE PARA PAINEL LED 18W LUX AUTOVOLT,20,9.24, MARÇO,180,96.84,9,DRIVE
 PAINEL LED 24W QUADRADO SOBREPOR 3000K,80,38.95, MARÇO,2320,1190.45,29,PAINEL
 PAINEL DE LED 18W QUADRADO SOBREPOR 3000K,65,32.79, MARÇO,1755,869.67,27,PAINEL
 PAINEL LED 12W LUX QUADRADO SOBREPOR 3000K,50,24.4, MARÇO,850,435.2,17,PAINEL
 PAINEL LED 18W LUX QUADRADO EMBUTIR - 3000K,55,27.99, MARÇO,1320,648.24,24,PAINEL
 PENDENTE BALOON 1xE27 BRANCA,140,81, MARÇO,420,177,3,PENDENTE
 PENDENTE BALOON 1xE27 PRETO,140,83.58, MARÇO,420,169.26,3,PENDENTE
 REFLETOR LED 50W 6500K PRETO,180,91.4, MARÇO,1440,708.8,8,REFLETOR
 LAMPADA MINI DICROICA 3.5W 3000K 210LM,25,13.73, MARÇO,425,191.59,17,LAMPADA
 REFLETOR LED 30W 3000K PRETO,120,66.78, MARÇO,2040,904.74,17,REFLETOR
 REFLETOR TR LRD 10W SLIM 6500K PRETO,60,34.09, MARÇO,1500,647.75,25,REFLETOR
 REFLETOR TR LED 10W SLIM 3000K PRETO,55,27.3, MARÇO,1265,637.1,23,REFLETOR
 LAMPADA LED FIREWORKS VINTAGE D95,100,57.29, MARÇO,1300,555.23,13,LAMPADA
 LAMPADA LED FIREWORKS VINTAGE G125,120,65.68, MARÇO,1200,543.2,10,LAMPADA
 LAMP LED AR111 24° 12W 2700K,100,59.19, MARÇO,2800,1142.68,28,LAMP
 LAMPADA LED AR70 4.8W 2700K DIMERIZAVEL GU10,90,51.25, MARÇO,3510,1511.25,39,LAMPADA
 LAMPADA MINI DICROICA DIMERIZAVEL 3.5W 3000K 210LM,60,33.2, MARÇO,480,214.4,8,LAMPADA
 LUMINARIA DE EMERGENCIA LED PRATIC,40,23.98, MARÇO,1760,704.88,44,LUMINARIA
 PENDENTE TASCHIBRA DOT METAL E COBRE,80,48.02, MARÇO,160,63.96,2,PENDENTE
 TARTARUGA FORCE LED 12W 3000K,70,40.08, MARÇO,0,0,0,TARTARUGA
 LAM.LED FILAMENTO VINTAGE DIM. ST64 127V AMBAR,50,28.76, MARÇO,550,233.64,11,LAM.LED
 LAMPADA LED FILAMENTO VINTAGE GLOBO G80 AMBAR,45,24.44, MARÇO,630,287.84,14,LAMPADA
 LAMPADA LED FILAMENTO VINTAGE ST64 AMBAR,40,22.6, MARÇO,520,226.2,13,LAMPADA
 LAMPADA LED FILAMENTO VINTAGE 4W ST AMBAR,40,19.9, MARÇO,680,341.7,17,LAMPADA
 PENDENTE TASCHIBRA AISHA BOREAL CONHAQUE 1xE27,120,70.33, MARÇO,0,0,0,PENDENTE
 PENDENTE TASCHIBRA SARAH BOREAL CONHAQUE 1xE27,120,74.37, MARÇO,0,0,0,PENDENTE
 PENDENTE TASCHIBRA YASMIN BOREAL CONHAQUE 1xE27,110,66.73, MARÇO,0,0,0,PENDENTE
 VELA LED DECORATIVA 15 CM PILHA AMARELO,24.99,14.85, MARÇO,174.93,70.98,7,VELA
 VELA LED DECORATIVA 10CM PILHA AMARELA,22.99,13.99, MARÇO,114.95,45,5,VELA
 PENDENTE TASCHIBRA LAYLA P CANELADO CONHAQUE 1xE27,120,76.51, MARÇO,120,43.49,1,PENDENTE
 PENDENTE TASCHIBRA BADIH P BOREAL CONHAQUE 1xE27 PT,120,73.4, MARÇO,240,93.2,2,PENDENTE
 LAMP.LED TKL 30 4.9W 6500K,10,6.3, MARÇO,330,122.1,33,LAMP.LED
 LAMPADA LED TKL30 4.9W 3000K 400LM,10,5.39, MARÇO,460,212.06,46,LAMPADA
 DRIVE TASCHIBRA PARA PAINEL LED 30 / 24W AUTO VOLT,20,11.39, MARÇO,140,60.27,7,DRIVE
 DRIVE TASCHIBRA PARA PAINEL LED 22 / 18W AUTO VOLT,20,9.29, MARÇO,160,85.68,8,DRIVE
 LUMINARIA LED SLIM 20 EMB. 4000K BRANCA,310,177.56, MARÇO,310,132.44,1,LUMINARIA
 LUMINARIA LED SLIM 10 EMB. 4000K BRANCA,180,87.5, MARÇO,0,0,0,LUMINARIA
 PLAFON LED QUADRADO 18W SOB.3000K,70,37.83, MARÇO,560,257.36,8,PLAFON
 PLAFON LED REDONDO 18W SOB.3000K,80,33.71, MARÇO,960,555.48,12,PLAFON
 PAINEL LED 3W QUADRADO EMBUTIR 3000K,20,10.8, MARÇO,460,211.6,23,PAINEL
 PAINEL LED 3W REDONDO EMBUTIR 3000K,20,10.26, MARÇO,420,204.54,21,PAINEL
 SPOT EMB.LED 5W 3000K QUADRADO,35,21.51, MARÇO,1155,445.17,33,SPOT
 DIFUSOR EM POLICARBONATO PARA TKL 5400,50,34.55, MARÇO,600,185.4,12,DIFUSOR
 LAM.HIGH LED 5400 61W 6500K E27,279,176.51, MARÇO,0,0,0,LAM.HIGH
 LAM.LED TDL35 4.9W 350LM 3000K GU10 DICROICA,20,11, MARÇO,260,117,13,LAM.LED
 LAM.LED 250 3000K GU10,18,14.8, MARÇO,558,99.2,31,LAM.LED
 ESPETO LED SOLAR PRATIC 3000K,60,43.63, MARÇO,660,180.07,11,ESPETO
 LAMP HIGH LED TKL 4800 E27 6500K,200,19.54, MARÇO,0,0,0,LAMP
 LAMP HIGH LED TKL 3600 E27 6500K,120,78.2, MARÇO,600,209,5,LAMP
 LAMP HIGH LED TKL 2700 E27 6500K,70,37.44, MARÇO,840,390.72,12,LAMP
 PAINEL LED 30 QUADRADO 24W EMBUTIR 4000K,80,48.34, MARÇO,800,316.6,10,PAINEL
 PAINEL LED 18W EMB.4000K,50,28.01, MARÇO,750,329.85,15,PAINEL
 PLAFON LED 12W 4000K EMBUTIR QUADRADO PAINEL DE LED BRANCO,35,18.27, MARÇO,840,401.52,24,PLAFON
 PLAFON LED 12W 4000K EMBUTIR REDONDO PAINEL DE LED BRANCO,38,22.49, MARÇO,912,372.24,24,PLAFON
 PAINEL LED 30 QUADRADO 24W SOBREPOR 4000K,110,54.83, MARÇO,0,0,0,PAINEL
 PAINEL DE LED 22 QUADRADO SOBREPOR 4000K,60,33.26, MARÇO,780,347.62,13,PAINEL
 PAINEL LED 12W QUADRADO SOBREPOR 4000K,40,21.76, MARÇO,640,291.84,16,PAINEL
 LAM.LED G9 3W 200LM 3000K HALLOPIN,35,20.61, MARÇO,735,302.19,21,LAM.LED
 LAM.LED TKL 1400 6500K,33,19.67, MARÇO,759,306.59,23,LAM.LED
 LAM.LED VELA TVL 250 CLARA 3000K,30,13, MARÇO,900,510,30,LAM.LED
 LAMPADA LED TKL100 15W 6500K 1507LM,30,12.6, MARÇO,960,556.8,32,LAMPADA
 LAMP LED BULBO TKL 15W 1507lm E27 3000K,30,16.87, MARÇO,570,249.47,19,LAMP
 LAMP LED BULBO TKL 11W 1100lm E27 6500K,30,18.68, MARÇO,660,249.04,22,LAMP
 LAMPADA LED TKL75 9.9W 4000K 1018LM,17,8.39, MARÇO,340,172.2,20,LAMPADA
 LAMPADA LED TKL75 9.9W 3000K 1018LM,18,9.74, MARÇO,342,156.94,19,LAMPADA
 PENDENTE ARAMADO UNI 605 1XE27,480,217.98, MARÇO,0,0,0,PENDENTE
 CALHA BRILHARE 2X16 LED BRANCA,70,40.06, MARÇO,420,179.64,6,CALHA
 LUMINARIA FIT LED 1X9W AUTOVOLT 6500k BRANCA,70,44.22, MARÇO,0,0,0,LUMINARIA
 LAMP LED PAR 20 7W VERDE IP65 E27,40,25.38, MARÇO,720,263.16,18,LAMP
 PLAFON LED QUADRADO FIT TSQL 18W / 22W 3000K,50,26.74, MARÇO,300,139.56,6,PLAFON
 PLAFON LED 22 REDONDO EMB. 3000K,60,29.21, MARÇO,660,338.69,11,PLAFON
 LAMP LED AR111 9W GU10 810LM 3000k,85,53, MARÇO,1190,448,14,LAMP
 LAMP LED BULBO TKL 9W 900lm E27 6500K,12,5.75, MARÇO,264,137.5,22,LAMP
 LAMP LED BULBO TKL 9W 900lm E27 4000K,25,14.29, MARÇO,350,149.94,14,LAMP
 LAMPADA LED TKL60 9W 3000K 803LM,12,5.62, MARÇO,228,121.22,19,LAMPADA
 LAMP LED BULBO TKL 6W 500 E27 4000K,20,12.9, MARÇO,380,134.9,19,LAMP
 LAMP LED BULBO TKL 4.9W 500lm E27 3000K,11,6.58, MARÇO,297,119.34,27,LAMP
 LUMINARIA LED TL SLIM 20 AUTOVOLT 4000K BRANCA,320,177.53, MARÇO,0,0,0,LUMINARIA
 LUMINARIA LED TL SLIM 10 AUTOVOLT 4000K BRANCA,200,85.28, MARÇO,0,0,0,LUMINARIA
 PLAFON LED 24W 3000K SOBREPOR QUADRADO TLPQ PAINEL DE LED BRANCO,110,54.83, MARÇO,220,110.34,2,PLAFON
 PLAFON LED 30W 3000K SOBREPOR REDONDO,110,76.62, MARÇO,0,0,0,PLAFON
 PLAFON LED 12W 3000K QUADRADO TLPQ PAINEL DE LED BRANCO,45,21.69, MARÇO,540,279.72,12,PLAFON
 Tartaruga TTL 05 retangular 1xG9 3000K 127V LED BR,100,69.12, MARÇO,0,0,0,Tartaruga
 PENDENTE TD 902 PRETO TEXTURARIZADO GRANDE,500,317.79, MARÇO,0,0,0,PENDENTE
 PENDENTE TD 902 BRANCO TEXTURARIZADO,270,137.09, MARÇO,0,0,0,PENDENTE
 LAMP LED TDL 07 6W 4000K GU-10,30,17.36, MARÇO,1050,442.4,35,LAMP
 REFLETOR LED 50W SLIM 6500K PRETO,140,63.9, ABRIL,1820,989.3,13,REFLETOR
 LAMPADA LED TKL60 12W 3000K 1018LM,16,7.99, ABRIL,2928,1465.83,183,LAMPADA
 PAINEL DE LED LUX 62X62 36W SOBREPOR 4000K,350,191, ABRIL,5250,2385,15,PAINEL
 PAINEL DE LED LUX 62X62 36W SOBREPOR 3000K,350,191, ABRIL,4200,1908,12,PAINEL
 PAINEL LED LUX 62X62 36W EMBUTIR 4000K 2520LM,315,174.99, ABRIL,3150,1400.1,10,PAINEL
 PAINEL LED LUX 40X40 SPBREPOR 4000K,260,157.5, ABRIL,2600,1025,10,PAINEL
 PAINEL LED LUX 40X40 32W 4000K EMBUTIT,220,110.64, ABRIL,1760,874.88,8,PAINEL
 PLAFON LED 24w QUADRADO SOBREPOR 4000K,90,41.49, ABRIL,2700,1455.3,30,PLAFON
 PAINEL LED 18W LUX QUADRADO SOBREPOR 4000K,55,28.32, ABRIL,1540,747.04,28,PAINEL
 PAINEL LED 12W QUADRADO SOBREPOR 4000K,40,22.66, ABRIL,440,190.74,11,PAINEL
 PAINEL LED 18W LUX REDONDO QUADRADO SOBREPOR 4000K,50,24.24, ABRIL,1350,695.52,27,PAINEL
 PLAFON 18W QUADRADO EMBUTIE 4000K,55,25.2, ABRIL,1320,715.2,24,PLAFON
 PAINEL LED 12W REDONDO EMBUTIR 4000K,35,20.22, ABRIL,210,88.68,6,PAINEL
 PENDENTE TASCHIBRA TEARS 5XE27 PRETA,250,134.56, ABRIL,750,346.32,3,PENDENTE
 DRIVE PARA PAINEL LED 24W AUTOVOLT,25,11.33, ABRIL,400,218.72,16,DRIVE
 DRIVE PARA PAINEL LED 18W LUX AUTOVOLT,20,9.24, ABRIL,220,118.36,11,DRIVE
 PAINEL LED 24W QUADRADO SOBREPOR 3000K,80,38.95, ABRIL,2480,1272.55,31,PAINEL
 PAINEL DE LED 18W QUADRADO SOBREPOR 3000K,65,32.79, ABRIL,1885,934.09,29,PAINEL
 PAINEL LED 12W LUX QUADRADO SOBREPOR 3000K,50,24.4, ABRIL,750,384,15,PAINEL
 PAINEL LED 18W LUX QUADRADO EMBUTIR - 3000K,55,27.99, ABRIL,1430,702.26,26,PAINEL
 PENDENTE BALOON 1xE27 BRANCA,140,81, ABRIL,140,59,1,PENDENTE
 PENDENTE BALOON 1xE27 PRETO,140,83.58, ABRIL,140,56.42,1,PENDENTE
 REFLETOR LED 50W 6500K PRETO,180,91.4, ABRIL,1800,886,10,REFLETOR
 LAMPADA MINI DICROICA 3.5W 3000K 210LM,25,13.73, ABRIL,500,225.4,20,LAMPADA
 REFLETOR LED 30W 3000K PRETO,120,66.78, ABRIL,1920,851.52,16,REFLETOR
 REFLETOR TR LRD 10W SLIM 6500K PRETO,60,34.09, ABRIL,1440,621.84,24,REFLETOR
 REFLETOR TR LED 10W SLIM 3000K PRETO,55,27.3, ABRIL,1430,720.2,26,REFLETOR
 LAMPADA LED FIREWORKS VINTAGE D95,100,57.29, ABRIL,1500,640.65,15,LAMPADA
 LAMPADA LED FIREWORKS VINTAGE G125,120,65.68, ABRIL,1200,543.2,10,LAMPADA
 LAMP LED AR111 24° 12W 2700K,100,59.19, ABRIL,3200,1305.92,32,LAMP
 LAMPADA LED AR70 4.8W 2700K DIMERIZAVEL GU10,90,51.25, ABRIL,3870,1666.25,43,LAMPADA
 LAMPADA MINI DICROICA DIMERIZAVEL 3.5W 3000K 210LM,60,33.2, ABRIL,420,187.6,7,LAMPADA
 LUMINARIA DE EMERGENCIA LED PRATIC,40,23.98, ABRIL,2000,801,50,LUMINARIA
 PENDENTE TASCHIBRA DOT METAL E COBRE,80,48.02, ABRIL,160,63.96,2,PENDENTE
 TARTARUGA FORCE LED 12W 3000K,70,40.08, ABRIL,0,0,0,TARTARUGA
 LAM.LED FILAMENTO VINTAGE DIM. ST64 127V AMBAR,50,28.76, ABRIL,600,254.88,12,LAM.LED
 LAMPADA LED FILAMENTO VINTAGE GLOBO G80 AMBAR,45,24.44, ABRIL,675,308.4,15,LAMPADA
 LAMPADA LED FILAMENTO VINTAGE ST64 AMBAR,40,22.6, ABRIL,640,278.4,16,LAMPADA
 LAMPADA LED FILAMENTO VINTAGE 4W ST AMBAR,40,19.9, ABRIL,720,361.8,18,LAMPADA
 PENDENTE TASCHIBRA AISHA BOREAL CONHAQUE 1xE27,120,70.33, ABRIL,0,0,0,PENDENTE
 PENDENTE TASCHIBRA SARAH BOREAL CONHAQUE 1xE27,120,74.37, ABRIL,0,0,0,PENDENTE
 PENDENTE TASCHIBRA YASMIN BOREAL CONHAQUE 1xE27,110,66.73, ABRIL,330,129.81,3,PENDENTE
 VELA LED DECORATIVA 15 CM PILHA AMARELO,24.99,14.85, ABRIL,199.92,81.12,8,VELA
 VELA LED DECORATIVA 10CM PILHA AMARELA,22.99,13.99, ABRIL,183.92,72,8,VELA
 PENDENTE TASCHIBRA LAYLA P CANELADO CONHAQUE 1xE27,120,76.51, ABRIL,120,43.49,1,PENDENTE
 PENDENTE TASCHIBRA BADIH P BOREAL CONHAQUE 1xE27 PT,120,73.4, ABRIL,120,46.6,1,PENDENTE
 LAMP.LED TKL 30 4.9W 6500K,10,6.3, ABRIL,370,136.9,37,LAMP.LED
 LAMPADA LED TKL30 4.9W 3000K 400LM,10,5.39, ABRIL,520,239.72,52,LAMPADA
 DRIVE TASCHIBRA PARA PAINEL LED 30 / 24W AUTO VOLT,20,11.39, ABRIL,160,68.88,8,DRIVE
 DRIVE TASCHIBRA PARA PAINEL LED 22 / 18W AUTO VOLT,20,9.29, ABRIL,140,74.97,7,DRIVE
 LUMINARIA LED SLIM 20 EMB. 4000K BRANCA,310,177.56, ABRIL,0,0,0,LUMINARIA
 LUMINARIA LED SLIM 10 EMB. 4000K BRANCA,180,87.5, ABRIL,0,0,0,LUMINARIA
 PLAFON LED QUADRADO 18W SOB.3000K,70,37.83, ABRIL,630,289.53,9,PLAFON
 PLAFON LED REDONDO 18W SOB.3000K,80,33.71, ABRIL,800,462.9,10,PLAFON
 PAINEL LED 3W QUADRADO EMBUTIR 3000K,20,10.8, ABRIL,500,230,25,PAINEL
 PAINEL LED 3W REDONDO EMBUTIR 3000K,20,10.26, ABRIL,380,185.06,19,PAINEL
 SPOT EMB.LED 5W 3000K QUADRADO,35,21.51, ABRIL,1225,472.15,35,SPOT
 DIFUSOR EM POLICARBONATO PARA TKL 5400,50,34.55, ABRIL,600,185.4,12,DIFUSOR
 LAM.HIGH LED 5400 61W 6500K E27,279,176.51, ABRIL,0,0,0,LAM.HIGH
 LAM.LED TDL35 4.9W 350LM 3000K GU10 DICROICA,20,11, ABRIL,260,117,13,LAM.LED
 LAM.LED 250 3000K GU10,18,14.8, ABRIL,666,118.4,37,LAM.LED
 ESPETO LED SOLAR PRATIC 3000K,60,43.63, ABRIL,720,196.44,12,ESPETO
 LAMP HIGH LED TKL 4800 E27 6500K,200,19.54, ABRIL,0,0,0,LAMP
 LAMP HIGH LED TKL 3600 E27 6500K,120,78.2, ABRIL,960,334.4,8,LAMP
 LAMP HIGH LED TKL 2700 E27 6500K,70,37.44, ABRIL,910,423.28,13,LAMP
 PAINEL LED 30 QUADRADO 24W EMBUTIR 4000K,80,48.34, ABRIL,800,316.6,10,PAINEL
 PAINEL LED 18W EMB.4000K,50,28.01, ABRIL,800,351.84,16,PAINEL
 PLAFON LED 12W 4000K EMBUTIR QUADRADO PAINEL DE LED BRANCO,35,18.27, ABRIL,1050,501.9,30,PLAFON
 PLAFON LED 12W 4000K EMBUTIR REDONDO PAINEL DE LED BRANCO,38,22.49, ABRIL,836,341.22,22,PLAFON
 PAINEL LED 30 QUADRADO 24W SOBREPOR 4000K,110,54.83, ABRIL,220,110.34,2,PAINEL
 PAINEL DE LED 22 QUADRADO SOBREPOR 4000K,60,33.26, ABRIL,960,427.84,16,PAINEL
 PAINEL LED 12W QUADRADO SOBREPOR 4000K,40,21.76, ABRIL,560,255.36,14,PAINEL
 LAM.LED G9 3W 200LM 3000K HALLOPIN,35,20.61, ABRIL,805,330.97,23,LAM.LED
 LAM.LED TKL 1400 6500K,33,19.67, ABRIL,792,319.92,24,LAM.LED
 LAM.LED VELA TVL 250 CLARA 3000K,30,13, ABRIL,990,561,33,LAM.LED
 LAMPADA LED TKL100 15W 6500K 1507LM,30,12.6, ABRIL,930,539.4,31,LAMPADA
 LAMP LED BULBO TKL 15W 1507lm E27 3000K,30,16.87, ABRIL,540,236.34,18,LAMP
 LAMP LED BULBO TKL 11W 1100lm E27 6500K,30,18.68, ABRIL,720,271.68,24,LAMP
 LAMPADA LED TKL75 9.9W 4000K 1018LM,17,8.39, ABRIL,340,172.2,20,LAMPADA
 LAMPADA LED TKL75 9.9W 3000K 1018LM,18,9.74, ABRIL,324,148.68,18,LAMPADA
 PENDENTE ARAMADO UNI 605 1XE27,480,217.98, ABRIL,0,0,0,PENDENTE
 CALHA BRILHARE 2X16 LED BRANCA,70,40.06, ABRIL,700,299.4,10,CALHA
 LUMINARIA FIT LED 1X9W AUTOVOLT 6500k BRANCA,70,44.22, ABRIL,0,0,0,LUMINARIA
 LAMP LED PAR 20 7W VERDE IP65 E27,40,25.38, ABRIL,720,263.16,18,LAMP
 PLAFON LED QUADRADO FIT TSQL 18W / 22W 3000K,50,26.74, ABRIL,350,162.82,7,PLAFON
 PLAFON LED 22 REDONDO EMB. 3000K,60,29.21, ABRIL,780,400.27,13,PLAFON
 LAMP LED AR111 9W GU10 810LM 3000k,85,53, ABRIL,935,352,11,LAMP
 LAMP LED BULBO TKL 9W 900lm E27 6500K,12,5.75, ABRIL,252,131.25,21,LAMP
 LAMP LED BULBO TKL 9W 900lm E27 4000K,25,14.29, ABRIL,400,171.36,16,LAMP
 LAMPADA LED TKL60 9W 3000K 803LM,12,5.62, ABRIL,276,146.74,23,LAMPADA
 LAMP LED BULBO TKL 6W 500 E27 4000K,20,12.9, ABRIL,340,120.7,17,LAMP
 LAMP LED BULBO TKL 4.9W 500lm E27 3000K,11,6.58, ABRIL,319,128.18,29,LAMP
 LUMINARIA LED TL SLIM 20 AUTOVOLT 4000K BRANCA,320,177.53, ABRIL,0,0,0,LUMINARIA
 LUMINARIA LED TL SLIM 10 AUTOVOLT 4000K BRANCA,200,85.28, ABRIL,0,0,0,LUMINARIA
 PLAFON LED 24W 3000K SOBREPOR QUADRADO TLPQ PAINEL DE LED BRANCO,110,54.83, ABRIL,220,110.34,2,PLAFON
 PLAFON LED 30W 3000K SOBREPOR REDONDO,110,76.62, ABRIL,0,0,0,PLAFON
 PLAFON LED 12W 3000K QUADRADO TLPQ PAINEL DE LED BRANCO,45,21.69, ABRIL,450,233.1,10,PLAFON
 Tartaruga TTL 05 retangular 1xG9 3000K 127V LED BR,100,69.12, ABRIL,500,154.4,5,Tartaruga
 PENDENTE TD 902 PRETO TEXTURARIZADO GRANDE,500,317.79, ABRIL,0,0,0,PENDENTE
 PENDENTE TD 902 BRANCO TEXTURARIZADO,270,137.09, ABRIL,0,0,0,PENDENTE
