PRODUTOS,VALOR VENDA ,CUSTO PRODUTO,MÊS,RECEITA,LUCRO ,NÚMERO DE PRODUTOS VENDIDOS,CATEGORIA
 LAMP LED TDL 07 6W 4000K GU-10,30,17.36, ABRIL,1080,455.04,36,LAMP
 REFLETOR LED 50W SLIM 6500K PRETO,140,63.9, MAIO,1820,989.3,13,REFLETOR
 LAMPADA LED TKL60 12W 3000K 1018LM,16,7.99, MAIO,2944,1473.84,184,LAMPADA
 PAINEL DE LED LUX 62X62 36W SOBREPOR 4000K,350,191, MAIO,4900,2226,14,PAINEL
 PAINEL DE LED LUX 62X62 36W SOBREPOR 3000K,350,191, MAIO,4900,2226,14,PAINEL
 PAINEL LED LUX 62X62 36W EMBUTIR 4000K 2520LM,315,174.99, MAIO,2835,1260.09,9,PAINEL
 PAINEL LED LUX 40X40 SPBREPOR 4000K,260,157.5, MAIO,2860,1127.5,11,PAINEL
 PAINEL LED LUX 40X40 32W 4000K EMBUTIT,220,110.64, MAIO,1980,984.24,9,PAINEL
 PLAFON LED 24w QUADRADO SOBREPOR 4000K,90,41.49, MAIO,2610,1406.79,29,PLAFON
 PAINEL LED 18W LUX QUADRADO SOBREPOR 4000K,55,28.32, MAIO,1540,747.04,28,PAINEL
 PAINEL LED 12W QUADRADO SOBREPOR 4000K,40,22.66, MAIO,400,173.4,10,PAINEL
 PAINEL LED 18W LUX REDONDO QUADRADO SOBREPOR 4000K,50,24.24, MAIO,1400,721.28,28,PAINEL
 PLAFON 18W QUADRADO EMBUTIE 4000K,55,25.2, MAIO,1485,804.6,27,PLAFON
 PAINEL LED 12W REDONDO EMBUTIR 4000K,35,20.22, MAIO,245,103.46,7,PAINEL
 PENDENTE TASCHIBRA TEARS 5XE27 PRETA,250,134.56, MAIO,750,346.32,3,PENDENTE
 DRIVE PARA PAINEL LED 24W AUTOVOLT,25,11.33, MAIO,375,205.05,15,DRIVE
 DRIVE PARA PAINEL LED 18W LUX AUTOVOLT,20,9.24, MAIO,220,118.36,11,DRIVE
 PAINEL LED 24W QUADRADO SOBREPOR 3000K,80,38.95, MAIO,2560,1313.6,32,PAINEL
 PAINEL DE LED 18W QUADRADO SOBREPOR 3000K,65,32.79, MAIO,1625,805.25,25,PAINEL
 PAINEL LED 12W LUX QUADRADO SOBREPOR 3000K,50,24.4, MAIO,900,460.8,18,PAINEL
 PAINEL LED 18W LUX QUADRADO EMBUTIR - 3000K,55,27.99, MAIO,1430,702.26,26,PAINEL
 PENDENTE BALOON 1xE27 BRANCA,140,81, MAIO,140,59,1,PENDENTE
 PENDENTE BALOON 1xE27 PRETO,140,83.58, MAIO,280,112.84,2,PENDENTE
 REFLETOR LED 50W 6500K PRETO,180,91.4, MAIO,1980,974.6,11,REFLETOR
 LAMPADA MINI DICROICA 3.5W 3000K 210LM,25,13.73, MAIO,475,214.13,19,LAMPADA
 REFLETOR LED 30W 3000K PRETO,120,66.78, MAIO,2160,957.96,18,REFLETOR
 REFLETOR TR LRD 10W SLIM 6500K PRETO,60,34.09, MAIO,1560,673.66,26,REFLETOR
 REFLETOR TR LED 10W SLIM 3000K PRETO,55,27.3, MAIO,1375,692.5,25,REFLETOR
 LAMPADA LED FIREWORKS VINTAGE D95,100,57.29, MAIO,1600,683.36,16,LAMPADA
 LAMPADA LED FIREWORKS VINTAGE G125,120,65.68, MAIO,1320,597.52,11,LAMPADA
 LAMP LED AR111 24° 12W 2700K,100,59.19, MAIO,3100,1265.11,31,LAMP
 LAMPADA LED AR70 4.8W 2700K DIMERIZAVEL GU10,90,51.25, MAIO,3690,1588.75,41,LAMPADA
 LAMPADA MINI DICROICA DIMERIZAVEL 3.5W 3000K 210LM,60,33.2, MAIO,600,268,10,LAMPADA
 LUMINARIA DE EMERGENCIA LED PRATIC,40,23.98, MAIO,2120,849.06,53,LUMINARIA
 PENDENTE TASCHIBRA DOT METAL E COBRE,80,48.02, MAIO,240,95.94,3,PENDENTE
 TARTARUGA FORCE LED 12W 3000K,70,40.08, MAIO,70,29.92,1,TARTARUGA
 LAM.LED FILAMENTO VINTAGE DIM. ST64 127V AMBAR,50,28.76, MAIO,550,233.64,11,LAM.LED
 LAMPADA LED FILAMENTO VINTAGE GLOBO G80 AMBAR,45,24.44, MAIO,630,287.84,14,LAMPADA
 LAMPADA LED FILAMENTO VINTAGE ST64 AMBAR,40,22.6, MAIO,600,261,15,LAMPADA
 LAMPADA LED FILAMENTO VINTAGE 4W ST AMBAR,40,19.9, MAIO,720,361.8,18,LAMPADA
 PENDENTE TASCHIBRA AISHA BOREAL CONHAQUE 1xE27,120,70.33, MAIO,0,0,0,PENDENTE
 PENDENTE TASCHIBRA SARAH BOREAL CONHAQUE 1xE27,120,74.37, MAIO,0,0,0,PENDENTE
 PENDENTE TASCHIBRA YASMIN BOREAL CONHAQUE 1xE27,110,66.73, MAIO,220,86.54,2,PENDENTE
 VELA LED DECORATIVA 15 CM PILHA AMARELO,24.99,14.85, MAIO,174.93,70.98,7,VELA
 VELA LED DECORATIVA 10CM PILHA AMARELA,22.99,13.99, MAIO,183.92,72,8,VELA
 PENDENTE TASCHIBRA LAYLA P CANELADO CONHAQUE 1xE27,120,76.51, MAIO,240,86.98,2,PENDENTE
 PENDENTE TASCHIBRA BADIH P BOREAL CONHAQUE 1xE27 PT,120,73.4, MAIO,360,139.8,3,PENDENTE
 LAMP.LED TKL 30 4.9W 6500K,10,6.3, MAIO,360,133.2,36,LAMP.LED
 LAMPADA LED TKL30 4.9W 3000K 400LM,10,5.39, MAIO,510,235.11,51,LAMPADA
 DRIVE TASCHIBRA PARA PAINEL LED 30 / 24W AUTO VOLT,20,11.39, MAIO,140,60.27,7,DRIVE
 DRIVE TASCHIBRA PARA PAINEL LED 22 / 18W AUTO VOLT,20,9.29, MAIO,140,74.97,7,DRIVE
 LUMINARIA LED SLIM 20 EMB. 4000K BRANCA,310,177.56, MAIO,0,0,0,LUMINARIA
 LUMINARIA LED SLIM 10 EMB. 4000K BRANCA,180,87.5, MAIO,0,0,0,LUMINARIA
 PLAFON LED QUADRADO 18W SOB.3000K,70,37.83, MAIO,490,225.19,7,PLAFON
 PLAFON LED REDONDO 18W SOB.3000K,80,33.71, MAIO,880,509.19,11,PLAFON
 PAINEL LED 3W QUADRADO EMBUTIR 3000K,20,10.8, MAIO,440,202.4,22,PAINEL
 PAINEL LED 3W REDONDO EMBUTIR 3000K,20,10.26, MAIO,360,175.32,18,PAINEL
 SPOT EMB.LED 5W 3000K QUADRADO,35,21.51, MAIO,1190,458.66,34,SPOT
 DIFUSOR EM POLICARBONATO PARA TKL 5400,50,34.55, MAIO,550,169.95,11,DIFUSOR
 LAM.HIGH LED 5400 61W 6500K E27,279,176.51, MAIO,558,204.98,2,LAM.HIGH
 LAM.LED TDL35 4.9W 350LM 3000K GU10 DICROICA,20,11, MAIO,320,144,16,LAM.LED
 LAM.LED 250 3000K GU10,18,14.8, MAIO,630,112,35,LAM.LED
 ESPETO LED SOLAR PRATIC 3000K,60,43.63, MAIO,720,196.44,12,ESPETO
 LAMP HIGH LED TKL 4800 E27 6500K,200,19.54, MAIO,400,360.92,2,LAMP
 LAMP HIGH LED TKL 3600 E27 6500K,120,78.2, MAIO,720,250.8,6,LAMP
 LAMP HIGH LED TKL 2700 E27 6500K,70,37.44, MAIO,1050,488.4,15,LAMP
 PAINEL LED 30 QUADRADO 24W EMBUTIR 4000K,80,48.34, MAIO,960,379.92,12,PAINEL
 PAINEL LED 18W EMB.4000K,50,28.01, MAIO,700,307.86,14,PAINEL
 PLAFON LED 12W 4000K EMBUTIR QUADRADO PAINEL DE LED BRANCO,35,18.27, MAIO,875,418.25,25,PLAFON
 PLAFON LED 12W 4000K EMBUTIR REDONDO PAINEL DE LED BRANCO,38,22.49, MAIO,760,310.2,20,PLAFON
 PAINEL LED 30 QUADRADO 24W SOBREPOR 4000K,110,54.83, MAIO,110,55.17,1,PAINEL
 PAINEL DE LED 22 QUADRADO SOBREPOR 4000K,60,33.26, MAIO,900,401.1,15,PAINEL
 PAINEL LED 12W QUADRADO SOBREPOR 4000K,40,21.76, MAIO,480,218.88,12,PAINEL
 LAM.LED G9 3W 200LM 3000K HALLOPIN,35,20.61, MAIO,770,316.58,22,LAM.LED
 LAM.LED TKL 1400 6500K,33,19.67, MAIO,825,333.25,25,LAM.LED
 LAM.LED VELA TVL 250 CLARA 3000K,30,13, MAIO,960,544,32,LAM.LED
 LAMPADA LED TKL100 15W 6500K 1507LM,30,12.6, MAIO,990,574.2,33,LAMPADA
 LAMP LED BULBO TKL 15W 1507lm E27 3000K,30,16.87, MAIO,600,262.6,20,LAMP
 LAMP LED BULBO TKL 11W 1100lm E27 6500K,30,18.68, MAIO,690,260.36,23,LAMP
 LAMPADA LED TKL75 9.9W 4000K 1018LM,17,8.39, MAIO,357,180.81,21,LAMPADA
 LAMPADA LED TKL75 9.9W 3000K 1018LM,18,9.74, MAIO,306,140.42,17,LAMPADA
 PENDENTE ARAMADO UNI 605 1XE27,480,217.98, MAIO,0,0,0,PENDENTE
 CALHA BRILHARE 2X16 LED BRANCA,70,40.06, MAIO,210,89.82,3,CALHA
 LUMINARIA FIT LED 1X9W AUTOVOLT 6500k BRANCA,70,44.22, MAIO,140,51.56,2,LUMINARIA
 LAMP LED PAR 20 7W VERDE IP65 E27,40,25.38, MAIO,760,277.78,19,LAMP
 PLAFON LED QUADRADO FIT TSQL 18W / 22W 3000K,50,26.74, MAIO,450,209.34,9,PLAFON
 PLAFON LED 22 REDONDO EMB. 3000K,60,29.21, MAIO,720,369.48,12,PLAFON
 LAMP LED AR111 9W GU10 810LM 3000k,85,53, MAIO,1105,416,13,LAMP
 LAMP LED BULBO TKL 9W 900lm E27 6500K,12,5.75, MAIO,252,131.25,21,LAMP
 LAMP LED BULBO TKL 9W 900lm E27 4000K,25,14.29, MAIO,425,182.07,17,LAMP
 LAMPADA LED TKL60 9W 3000K 803LM,12,5.62, MAIO,312,165.88,26,LAMPADA
 LAMP LED BULBO TKL 6W 500 E27 4000K,20,12.9, MAIO,340,120.7,17,LAMP
 LAMP LED BULBO TKL 4.9W 500lm E27 3000K,11,6.58, MAIO,363,145.86,33,LAMP
 LUMINARIA LED TL SLIM 20 AUTOVOLT 4000K BRANCA,320,177.53, MAIO,0,0,0,LUMINARIA
 LUMINARIA LED TL SLIM 10 AUTOVOLT 4000K BRANCA,200,85.28, MAIO,0,0,0,LUMINARIA
 PLAFON LED 24W 3000K SOBREPOR QUADRADO TLPQ PAINEL DE LED BRANCO,110,54.83, MAIO,110,55.17,1,PLAFON
 PLAFON LED 30W 3000K SOBREPOR REDONDO,110,76.62, MAIO,0,0,0,PLAFON
 PLAFON LED 12W 3000K QUADRADO TLPQ PAINEL DE LED BRANCO,45,21.69, MAIO,495,256.41,11,PLAFON
 Tartaruga TTL 05 retangular 1xG9 3000K 127V LED BR,100,69.12, MAIO,0,0,0,Tartaruga
 PENDENTE TD 902 PRETO TEXTURARIZADO GRANDE,500,317.79, MAIO,0,0,0,PENDENTE
 PENDENTE TD 902 BRANCO TEXTURARIZADO,270,137.09, MAIO,0,0,0,PENDENTE
 LAMP LED TDL 07 6W 4000K GU-10,30,17.36, MAIO,1110,467.68,37,LAMP
 REFLETOR LED 50W SLIM 6500K PRETO,140,63.9, JUNHO,1680,913.2,12,REFLETOR
 LAMPADA LED TKL60 12W 3000K 1018LM,16,7.99, JUNHO,2896,1449.81,181,LAMPADA
 PAINEL DE LED LUX 62X62 36W SOBREPOR 4000K,350,191, JUNHO,5600,2544,16,PAINEL
 PAINEL DE LED LUX 62X62 36W SOBREPOR 3000K,350,191, JUNHO,4550,2067,13,PAINEL
 PAINEL LED LUX 62X62 36W EMBUTIR 4000K 2520LM,315,174.99, JUNHO,3150,1400.1,10,PAINEL
 PAINEL LED LUX 40X40 SPBREPOR 4000K,260,157.5, JUNHO,3120,1230,12,PAINEL
 PAINEL LED LUX 40X40 32W 4000K EMBUTIT,220,110.64, JUNHO,1980,984.24,9,PAINEL
 PLAFON LED 24w QUADRADO SOBREPOR 4000K,90,41.49, JUNHO,2790,1503.81,31,PLAFON
 PAINEL LED 18W LUX QUADRADO SOBREPOR 4000K,55,28.32, JUNHO,1485,720.36,27,PAINEL
 PAINEL LED 12W QUADRADO SOBREPOR 4000K,40,22.66, JUNHO,400,173.4,10,PAINEL
 PAINEL LED 18W LUX REDONDO QUADRADO SOBREPOR 4000K,50,24.24, JUNHO,1250,644,25,PAINEL
 PLAFON 18W QUADRADO EMBUTIE 4000K,55,25.2, JUNHO,1485,804.6,27,PLAFON
 PAINEL LED 12W REDONDO EMBUTIR 4000K,35,20.22, JUNHO,210,88.68,6,PAINEL
 PENDENTE TASCHIBRA TEARS 5XE27 PRETA,250,134.56, JUNHO,500,230.88,2,PENDENTE
 DRIVE PARA PAINEL LED 24W AUTOVOLT,25,11.33, JUNHO,375,205.05,15,DRIVE
 DRIVE PARA PAINEL LED 18W LUX AUTOVOLT,20,9.24, JUNHO,200,107.6,10,DRIVE
 PAINEL LED 24W QUADRADO SOBREPOR 3000K,80,38.95, JUNHO,2480,1272.55,31,PAINEL
 PAINEL DE LED 18W QUADRADO SOBREPOR 3000K,65,32.79, JUNHO,1755,869.67,27,PAINEL
 PAINEL LED 12W LUX QUADRADO SOBREPOR 3000K,50,24.4, JUNHO,800,409.6,16,PAINEL
 PAINEL LED 18W LUX QUADRADO EMBUTIR - 3000K,55,27.99, JUNHO,1375,675.25,25,PAINEL
 PENDENTE BALOON 1xE27 BRANCA,140,81, JUNHO,420,177,3,PENDENTE
 PENDENTE BALOON 1xE27 PRETO,140,83.58, JUNHO,280,112.84,2,PENDENTE
 REFLETOR LED 50W 6500K PRETO,180,91.4, JUNHO,1620,797.4,9,REFLETOR
 LAMPADA MINI DICROICA 3.5W 3000K 210LM,25,13.73, JUNHO,450,202.86,18,LAMPADA
 REFLETOR LED 30W 3000K PRETO,120,66.78, JUNHO,1920,851.52,16,REFLETOR
 REFLETOR TR LRD 10W SLIM 6500K PRETO,60,34.09, JUNHO,1440,621.84,24,REFLETOR
 REFLETOR TR LED 10W SLIM 3000K PRETO,55,27.3, JUNHO,1375,692.5,25,REFLETOR
 LAMPADA LED FIREWORKS VINTAGE D95,100,57.29, JUNHO,1500,640.65,15,LAMPADA
 LAMPADA LED FIREWORKS VINTAGE G125,120,65.68, JUNHO,1080,488.88,9,LAMPADA
 LAMP LED AR111 24° 12W 2700K,100,59.19, JUNHO,3300,1346.73,33,LAMP
 LAMPADA LED AR70 4.8W 2700K DIMERIZAVEL GU10,90,51.25, JUNHO,3780,1627.5,42,LAMPADA
 LAMPADA MINI DICROICA DIMERIZAVEL 3.5W 3000K 210LM,60,33.2, JUNHO,540,241.2,9,LAMPADA
 LUMINARIA DE EMERGENCIA LED PRATIC,40,23.98, JUNHO,2040,817.02,51,LUMINARIA
 PENDENTE TASCHIBRA DOT METAL E COBRE,80,48.02, JUNHO,160,63.96,2,PENDENTE
 TARTARUGA FORCE LED 12W 3000K,70,40.08, JUNHO,0,0,0,TARTARUGA
 LAM.LED FILAMENTO VINTAGE DIM. ST64 127V AMBAR,50,28.76, JUNHO,550,233.64,11,LAM.LED
 LAMPADA LED FILAMENTO VINTAGE GLOBO G80 AMBAR,45,24.44, JUNHO,585,267.28,13,LAMPADA
 LAMPADA LED FILAMENTO VINTAGE ST64 AMBAR,40,22.6, JUNHO,680,295.8,17,LAMPADA
 LAMPADA LED FILAMENTO VINTAGE 4W ST AMBAR,40,19.9, JUNHO,760,381.9,19,LAMPADA
 PENDENTE TASCHIBRA AISHA BOREAL CONHAQUE 1xE27,120,70.33, JUNHO,120,49.67,1,PENDENTE
 PENDENTE TASCHIBRA SARAH BOREAL CONHAQUE 1xE27,120,74.37, JUNHO,0,0,0,PENDENTE
 PENDENTE TASCHIBRA YASMIN BOREAL CONHAQUE 1xE27,110,66.73, JUNHO,220,86.54,2,PENDENTE
 VELA LED DECORATIVA 15 CM PILHA AMARELO,24.99,14.85, JUNHO,224.91,91.26,9,VELA
 VELA LED DECORATIVA 10CM PILHA AMARELA,22.99,13.99, JUNHO,160.93,63,7,VELA
 PENDENTE TASCHIBRA LAYLA P CANELADO CONHAQUE 1xE27,120,76.51, JUNHO,240,86.98,2,PENDENTE
 PENDENTE TASCHIBRA BADIH P BOREAL CONHAQUE 1xE27 PT,120,73.4, JUNHO,120,46.6,1,PENDENTE
 LAMP.LED TKL 30 4.9W 6500K,10,6.3, JUNHO,380,140.6,38,LAMP.LED
 LAMPADA LED TKL30 4.9W 3000K 400LM,10,5.39, JUNHO,550,253.55,55,LAMPADA
 DRIVE TASCHIBRA PARA PAINEL LED 30 / 24W AUTO VOLT,20,11.39, JUNHO,100,43.05,5,DRIVE
 DRIVE TASCHIBRA PARA PAINEL LED 22 / 18W AUTO VOLT,20,9.29, JUNHO,140,74.97,7,DRIVE
 LUMINARIA LED SLIM 20 EMB. 4000K BRANCA,310,177.56, JUNHO,310,132.44,1,LUMINARIA
 LUMINARIA LED SLIM 10 EMB. 4000K BRANCA,180,87.5, JUNHO,0,0,0,LUMINARIA
 PLAFON LED QUADRADO 18W SOB.3000K,70,37.83, JUNHO,700,321.7,10,PLAFON
 PLAFON LED REDONDO 18W SOB.3000K,80,33.71, JUNHO,960,555.48,12,PLAFON
 PAINEL LED 3W QUADRADO EMBUTIR 3000K,20,10.8, JUNHO,500,230,25,PAINEL
 PAINEL LED 3W REDONDO EMBUTIR 3000K,20,10.26, JUNHO,440,214.28,22,PAINEL
 SPOT EMB.LED 5W 3000K QUADRADO,35,21.51, JUNHO,1295,499.13,37,SPOT
 DIFUSOR EM POLICARBONATO PARA TKL 5400,50,34.55, JUNHO,500,154.5,10,DIFUSOR
 LAM.HIGH LED 5400 61W 6500K E27,279,176.51, JUNHO,279,102.49,1,LAM.HIGH
 LAM.LED TDL35 4.9W 350LM 3000K GU10 DICROICA,20,11, JUNHO,340,153,17,LAM.LED
 LAM.LED 250 3000K GU10,18,14.8, JUNHO,594,105.6,33,LAM.LED
 ESPETO LED SOLAR PRATIC 3000K,60,43.63, JUNHO,900,245.55,15,ESPETO
 LAMP HIGH LED TKL 4800 E27 6500K,200,19.54, JUNHO,0,0,0,LAMP
 LAMP HIGH LED TKL 3600 E27 6500K,120,78.2, JUNHO,1080,376.2,9,LAMP
 LAMP HIGH LED TKL 2700 E27 6500K,70,37.44, JUNHO,1050,488.4,15,LAMP
 PAINEL LED 30 QUADRADO 24W EMBUTIR 4000K,80,48.34, JUNHO,1120,443.24,14,PAINEL
 PAINEL LED 18W EMB.4000K,50,28.01, JUNHO,650,285.87,13,PAINEL
 PLAFON LED 12W 4000K EMBUTIR QUADRADO PAINEL DE LED BRANCO,35,18.27, JUNHO,980,468.44,28,PLAFON
 PLAFON LED 12W 4000K EMBUTIR REDONDO PAINEL DE LED BRANCO,38,22.49, JUNHO,988,403.26,26,PLAFON
 PAINEL LED 30 QUADRADO 24W SOBREPOR 4000K,110,54.83, JUNHO,220,110.34,2,PAINEL
 PAINEL DE LED 22 QUADRADO SOBREPOR 4000K,60,33.26, JUNHO,840,374.36,14,PAINEL
 PAINEL LED 12W QUADRADO SOBREPOR 4000K,40,21.76, JUNHO,600,273.6,15,PAINEL
 LAM.LED G9 3W 200LM 3000K HALLOPIN,35,20.61, JUNHO,735,302.19,21,LAM.LED
 LAM.LED TKL 1400 6500K,33,19.67, JUNHO,858,346.58,26,LAM.LED
 LAM.LED VELA TVL 250 CLARA 3000K,30,13, JUNHO,990,561,33,LAM.LED
 LAMPADA LED TKL100 15W 6500K 1507LM,30,12.6, JUNHO,960,556.8,32,LAMPADA
 LAMP LED BULBO TKL 15W 1507lm E27 3000K,30,16.87, JUNHO,660,288.86,22,LAMP
 LAMP LED BULBO TKL 11W 1100lm E27 6500K,30,18.68, JUNHO,750,283,25,LAMP
 LAMPADA LED TKL75 9.9W 4000K 1018LM,17,8.39, JUNHO,391,198.03,23,LAMPADA
 LAMPADA LED TKL75 9.9W 3000K 1018LM,18,9.74, JUNHO,360,165.2,20,LAMPADA
 PENDENTE ARAMADO UNI 605 1XE27,480,217.98, JUNHO,0,0,0,PENDENTE
 CALHA BRILHARE 2X16 LED BRANCA,70,40.06, JUNHO,140,59.88,2,CALHA
 LUMINARIA FIT LED 1X9W AUTOVOLT 6500k BRANCA,70,44.22, JUNHO,70,25.78,1,LUMINARIA
 LAMP LED PAR 20 7W VERDE IP65 E27,40,25.38, JUNHO,880,321.64,22,LAMP
 PLAFON LED QUADRADO FIT TSQL 18W / 22W 3000K,50,26.74, JUNHO,450,209.34,9,PLAFON
 PLAFON LED 22 REDONDO EMB. 3000K,60,29.21, JUNHO,660,338.69,11,PLAFON
 LAMP LED AR111 9W GU10 810LM 3000k,85,53, JUNHO,1020,384,12,LAMP
 LAMP LED BULBO TKL 9W 900lm E27 6500K,12,5.75, JUNHO,300,156.25,25,LAMP
 LAMP LED BULBO TKL 9W 900lm E27 4000K,25,14.29, JUNHO,425,182.07,17,LAMP
 LAMPADA LED TKL60 9W 3000K 803LM,12,5.62, JUNHO,300,159.5,25,LAMPADA
 LAMP LED BULBO TKL 6W 500 E27 4000K,20,12.9, JUNHO,380,134.9,19,LAMP
 LAMP LED BULBO TKL 4.9W 500lm E27 3000K,11,6.58, JUNHO,352,141.44,32,LAMP
 LUMINARIA LED TL SLIM 20 AUTOVOLT 4000K BRANCA,320,177.53, JUNHO,0,0,0,LUMINARIA
 LUMINARIA LED TL SLIM 10 AUTOVOLT 4000K BRANCA,200,85.28, JUNHO,0,0,0,LUMINARIA
 PLAFON LED 24W 3000K SOBREPOR QUADRADO TLPQ PAINEL DE LED BRANCO,110,54.83, JUNHO,0,0,0,PLAFON
 PLAFON LED 30W 3000K SOBREPOR REDONDO,110,76.62, JUNHO,220,66.76,2,PLAFON
 PLAFON LED 12W 3000K QUADRADO TLPQ PAINEL DE LED BRANCO,45,21.69, JUNHO,585,303.03,13,PLAFON
 Tartaruga TTL 05 retangular 1xG9 3000K 127V LED BR,100,69.12, JUNHO,0,0,0,Tartaruga
 PENDENTE TD 902 PRETO TEXTURARIZADO GRANDE,500,317.79, JUNHO,0,0,0,PENDENTE
 PENDENTE TD 902 BRANCO TEXTURARIZADO,270,137.09, JUNHO,0,0,0,PENDENTE
 LAMP LED TDL 07 6W 4000K GU-10,30,17.36, JUNHO,1140,480.32,38,LAMP
 REFLETOR LED 50W SLIM 6500K PRETO,140,63.9, JULHO,2100,1141.5,15,REFLETOR
 LAMPADA LED TKL60 12W 3000K 1018LM,16,7.99, JULHO,3088,1545.93,193,LAMPADA
 PAINEL DE LED LUX 62X62 36W SOBREPOR 4000K,350,191, JULHO,6650,3021,19,PAINEL
 PAINEL DE LED LUX 62X62 36W SOBREPOR 3000K,350,191, JULHO,5250,2385,15,PAINEL
