Regime Cambial,2010,2011,2012,2013,2014,2015,2016,2017,2018
Regime de Câmbio Fixo,13.2,13.1,13.1,13.1,13.1,12.6,13,12.5,12.5
Dolarização,6.3,6.8,6.8,6.8,6.8,6.8,7.3,6.8,6.8
Currency Board,6.9,6.3,6.3,6.3,6.3,5.8,5.7,5.7,5.7
Regimes Intermediários,39.8,43.1,39.4,42.9,43.4,47.1,39.6,42.2,46.4
Conventional Peg,23.3,22.6,22.6,23.6,23,23,22.9,22.4,22.4
Estabilização Câmbial,12.7,12.1,8.4,9.9,11,11.5,9.4,12.5,14.1
Crawling Peg,1.6,1.6,1.6,1,1,1.6,1.6,1.6,1.6
Crawl-like Arrangement,1.1,6.3,6.3,7.9,7.9,10.5,5.2,5.2,7.8
Câmbio Fixo com Bandas Horizontais,1.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Regime de Câmbio Flutuante,36,34.7,34.7,34,34,35.1,36.9,35.9,34.3
Flutuante,20.1,18.9,18.4,18.3,18.8,19.4,20.8,19.8,18.2
Flutuação Livre,15.9,15.8,16.3,15.7,15.2,15.7,16.1,16.1,16.1
Outros regimes controlados,11.1,8.9,12.6,9.9,9.4,5.2,10.4,9.4,6.8