Casos,Casos por dia,Ã“bitos por dia,mes,dia,anos,date,ano_mes,anomes
1,1,0,02,26,2020,2020-2-26,2020-2-1,2020-2
0,0,0,02,27,2020,2020-2-27,2020-2-1,2020-2
0,0,0,02,28,2020,2020-2-28,2020-2-1,2020-2
2,1,0,02,29,2020,2020-2-29,2020-2-1,2020-2
0,0,0,03,1,2020,2020-3-1,2020-3-1,2020-3
0,0,0,03,2,2020,2020-3-2,2020-3-1,2020-3
0,0,0,03,3,2020,2020-3-3,2020-3-1,2020-3
3,1,0,03,4,2020,2020-3-4,2020-3-1,2020-3
6,3,0,03,5,2020,2020-3-5,2020-3-1,2020-3
10,4,0,03,6,2020,2020-3-6,2020-3-1,2020-3
13,3,0,03,7,2020,2020-3-7,2020-3-1,2020-3
16,3,0,03,8,2020,2020-3-8,2020-3-1,2020-3
16,0,0,03,9,2020,2020-3-9,2020-3-1,2020-3
19,3,0,03,10,2020,2020-3-10,2020-3-1,2020-3
30,11,0,03,11,2020,2020-3-11,2020-3-1,2020-3
46,16,0,03,12,2020,2020-3-12,2020-3-1,2020-3
56,10,0,03,13,2020,2020-3-13,2020-3-1,2020-3
65,9,0,03,14,2020,2020-3-14,2020-3-1,2020-3
136,71,0,03,15,2020,2020-3-15,2020-3-1,2020-3
152,16,0,03,16,2020,2020-3-16,2020-3-1,2020-3
164,12,1,03,17,2020,2020-3-17,2020-3-1,2020-3
240,76,3,03,18,2020,2020-3-18,2020-3-1,2020-3
286,46,1,03,19,2020,2020-3-19,2020-3-1,2020-3
396,110,4,03,20,2020,2020-3-20,2020-3-1,2020-3
459,63,6,03,21,2020,2020-3-21,2020-3-1,2020-3
631,172,7,03,22,2020,2020-3-22,2020-3-1,2020-3
745,114,8,03,23,2020,2020-3-23,2020-3-1,2020-3
810,65,10,03,24,2020,2020-3-24,2020-3-1,2020-3
862,52,8,03,25,2020,2020-3-25,2020-3-1,2020-3
1052,190,10,03,26,2020,2020-3-26,2020-3-1,2020-3
1223,171,10,03,27,2020,2020-3-27,2020-3-1,2020-3
1406,183,16,03,28,2020,2020-3-28,2020-3-1,2020-3
1451,45,14,03,29,2020,2020-3-29,2020-3-1,2020-3
1517,66,15,03,30,2020,2020-3-30,2020-3-1,2020-3
2339,822,23,03,31,2020,2020-3-31,2020-3-1,2020-3
2981,642,28,04,1,2020,2020-4-1,2020-4-1,2020-4
3506,525,44,04,2,2020,2020-4-2,2020-4-1,2020-4
4048,542,11,04,3,2020,2020-4-3,2020-4-1,2020-4
4466,418,41,04,4,2020,2020-4-4,2020-4-1,2020-4
4620,154,15,04,5,2020,2020-4-5,2020-4-1,2020-4
4861,241,29,04,6,2020,2020-4-6,2020-4-1,2020-4
5682,821,67,04,7,2020,2020-4-7,2020-4-1,2020-4
6708,1026,57,04,8,2020,2020-4-8,2020-4-1,2020-4
7480,772,68,04,9,2020,2020-4-9,2020-4-1,2020-4
8216,736,44,04,10,2020,2020-4-10,2020-4-1,2020-4
8419,203,20,04,11,2020,2020-4-11,2020-4-1,2020-4
8755,336,28,04,12,2020,2020-4-12,2020-4-1,2020-4
8895,140,20,04,13,2020,2020-4-13,2020-4-1,2020-4
9371,476,87,04,14,2020,2020-4-14,2020-4-1,2020-4
11043,1672,83,04,15,2020,2020-4-15,2020-4-1,2020-4
11568,525,75,04,16,2020,2020-4-16,2020-4-1,2020-4
12841,1273,75,04,17,2020,2020-4-17,2020-4-1,2020-4
13894,1053,63,04,18,2020,2020-4-18,2020-4-1,2020-4
14267,373,24,04,19,2020,2020-4-19,2020-4-1,2020-4
14580,313,22,04,20,2020,2020-4-20,2020-4-1,2020-4
15385,805,56,04,21,2020,2020-4-21,2020-4-1,2020-4
15914,529,41,04,22,2020,2020-4-22,2020-4-1,2020-4
16740,826,211,04,23,2020,2020-4-23,2020-4-1,2020-4
17826,1086,167,04,24,2020,2020-4-24,2020-4-1,2020-4
20004,2178,155,04,25,2020,2020-4-25,2020-4-1,2020-4
20715,711,33,04,26,2020,2020-4-26,2020-4-1,2020-4
21696,981,125,04,27,2020,2020-4-27,2020-4-1,2020-4
24041,2345,224,04,28,2020,2020-4-28,2020-4-1,2020-4
26158,2117,198,04,29,2020,2020-4-29,2020-4-1,2020-4
28698,2540,128,04,30,2020,2020-4-30,2020-4-1,2020-4
30374,1676,136,05,1,2020,2020-5-1,2020-5-1,2020-5
31174,800,75,05,2,2020,2020-5-2,2020-5-1,2020-5
31772,598,41,05,3,2020,2020-5-3,2020-5-1,2020-5
32187,415,27,05,4,2020,2020-5-4,2020-5-1,2020-5
34053,1866,197,05,5,2020,2020-5-5,2020-5-1,2020-5
37853,3800,194,05,6,2020,2020-5-6,2020-5-1,2020-5
39928,2075,161,05,7,2020,2020-5-7,2020-5-1,2020-5
41830,1902,210,05,8,2020,2020-5-8,2020-5-1,2020-5
44411,2581,192,05,9,2020,2020-5-9,2020-5-1,2020-5
45444,1033,101,05,10,2020,2020-5-10,2020-5-1,2020-5
46131,687,34,05,11,2020,2020-5-11,2020-5-1,2020-5
47719,1588,206,05,12,2020,2020-5-12,2020-5-1,2020-5
51097,3378,169,05,13,2020,2020-5-13,2020-5-1,2020-5
54286,3189,197,05,14,2020,2020-5-14,2020-5-1,2020-5
58378,4092,186,05,15,2020,2020-5-15,2020-5-1,2020-5
61183,2805,187,05,16,2020,2020-5-16,2020-5-1,2020-5
62345,1162,94,05,17,2020,2020-5-17,2020-5-1,2020-5
63066,721,41,05,18,2020,2020-5-18,2020-5-1,2020-5
65995,2929,324,05,19,2020,2020-5-19,2020-5-1,2020-5
69859,3864,216,05,20,2020,2020-5-20,2020-5-1,2020-5
73739,3880,195,05,21,2020,2020-5-21,2020-5-1,2020-5
76871,3132,215,05,22,2020,2020-5-22,2020-5-1,2020-5
80558,3687,272,05,23,2020,2020-5-23,2020-5-1,2020-5
82161,1603,118,05,24,2020,2020-5-24,2020-5-1,2020-5
83625,1464,57,05,25,2020,2020-5-25,2020-5-1,2020-5
86017,2392,203,05,26,2020,2020-5-26,2020-5-1,2020-5
89483,3466,289,05,27,2020,2020-5-27,2020-5-1,2020-5
95865,6382,268,05,28,2020,2020-5-28,2020-5-1,2020-5
101556,5691,295,05,29,2020,2020-5-29,2020-5-1,2020-5
107142,5586,257,05,30,2020,2020-5-30,2020-5-1,2020-5
109698,2556,83,05,31,2020,2020-5-31,2020-5-1,2020-5
111296,1598,52,06,1,2020,2020-6-1,2020-6-1,2020-6
118295,6999,327,06,2,2020,2020-6-2,2020-6-1,2020-6
123483,5188,282,06,3,2020,2020-6-3,2020-6-1,2020-6
129200,5717,285,06,4,2020,2020-6-4,2020-6-1,2020-6
134565,5365,281,06,5,2020,2020-6-5,2020-6-1,2020-6
140549,5984,216,06,6,2020,2020-6-6,2020-6-1,2020-6
143073,2524,87,06,7,2020,2020-6-7,2020-6-1,2020-6
144593,1520,43,06,8,2020,2020-6-8,2020-6-1,2020-6
150138,5545,334,06,9,2020,2020-6-9,2020-6-1,2020-6
156316,6178,340,06,10,2020,2020-6-10,2020-6-1,2020-6
162520,6204,283,06,11,2020,2020-6-11,2020-6-1,2020-6
167900,5380,223,06,12,2020,2020-6-12,2020-6-1,2020-6
172875,4975,213,06,13,2020,2020-6-13,2020-6-1,2020-6
178202,5327,113,06,14,2020,2020-6-14,2020-6-1,2020-6
181460,3258,73,06,15,2020,2020-6-15,2020-6-1,2020-6
190285,8825,365,06,16,2020,2020-6-16,2020-6-1,2020-6
191517,1232,389,06,17,2020,2020-6-17,2020-6-1,2020-6
192628,1111,325,06,18,2020,2020-6-18,2020-6-1,2020-6
211658,19030,386,06,19,2020,2020-6-19,2020-6-1,2020-6
215793,4135,262,06,20,2020,2020-6-20,2020-6-1,2020-6
219185,3392,94,06,21,2020,2020-6-21,2020-6-1,2020-6
221973,2788,46,06,22,2020,2020-6-22,2020-6-1,2020-6
229475,7502,434,06,23,2020,2020-6-23,2020-6-1,2020-6
238822,9347,284,06,24,2020,2020-6-24,2020-6-1,2020-6
248587,9765,407,06,25,2020,2020-6-25,2020-6-1,2020-6
258508,9921,207,06,26,2020,2020-6-26,2020-6-1,2020-6
265581,7073,297,06,27,2020,2020-6-27,2020-6-1,2020-6
271737,6156,75,06,28,2020,2020-6-28,2020-6-1,2020-6
275145,3408,60,06,29,2020,2020-6-29,2020-6-1,2020-6
281380,6235,365,06,30,2020,2020-6-30,2020-6-1,2020-6
289935,8555,267,07,1,2020,2020-7-1,2020-7-1,2020-7
302179,12244,321,07,2,2020,2020-7-2,2020-7-1,2020-7
310517,8338,343,07,3,2020,2020-7-3,2020-7-1,2020-7
312530,2013,302,07,4,2020,2020-7-4,2020-7-1,2020-7
320179,7649,82,07,5,2020,2020-7-5,2020-7-1,2020-7
323070,2891,56,07,6,2020,2020-7-6,2020-7-1,2020-7
332708,9638,341,07,7,2020,2020-7-7,2020-7-1,2020-7
341365,8657,313,07,8,2020,2020-7-8,2020-7-1,2020-7
349715,8350,330,07,9,2020,2020-7-9,2020-7-1,2020-7
359110,9395,324,07,10,2020,2020-7-10,2020-7-1,2020-7
366890,7780,260,07,11,2020,2020-7-11,2020-7-1,2020-7
371997,5107,146,07,12,2020,2020-7-12,2020-7-1,2020-7
374607,2610,59,07,13,2020,2020-7-13,2020-7-1,2020-7
386607,12000,417,07,14,2020,2020-7-14,2020-7-1,2020-7
393176,6569,316,07,15,2020,2020-7-15,2020-7-1,2020-7
402048,8872,398,07,16,2020,2020-7-16,2020-7-1,2020-7
407415,5367,339,07,17,2020,2020-7-17,2020-7-1,2020-7
412027,4612,270,07,18,2020,2020-7-18,2020-7-1,2020-7
415049,3022,85,07,19,2020,2020-7-19,2020-7-1,2020-7
416434,1385,56,07,20,2020,2020-7-20,2020-7-1,2020-7
422669,6235,383,07,21,2020,2020-7-21,2020-7-1,2020-7
439446,16777,361,07,22,2020,2020-7-22,2020-7-1,2020-7
452007,12561,362,07,23,2020,2020-7-23,2020-7-1,2020-7
463218,11211,312,07,24,2020,2020-7-24,2020-7-1,2020-7
479481,16263,311,07,25,2020,2020-7-25,2020-7-1,2020-7
483982,4501,89,07,26,2020,2020-7-26,2020-7-1,2020-7
487654,3672,70,07,27,2020,2020-7-27,2020-7-1,2020-7
500301,12647,383,07,28,2020,2020-7-28,2020-7-1,2020-7
514197,13896,330,07,29,2020,2020-7-29,2020-7-1,2020-7
529006,14809,321,07,30,2020,2020-7-30,2020-7-1,2020-7
542304,13298,287,07,31,2020,2020-7-31,2020-7-1,2020-7
552318,10014,239,08,1,2020,2020-8-1,2020-8-1,2020-8
558685,6367,81,08,2,2020,2020-8-2,2020-8-1,2020-8
560218,1533,48,08,3,2020,2020-8-3,2020-8-1,2020-8
575589,15371,337,08,4,2020,2020-8-4,2020-8-1,2020-8
585265,9676,407,08,5,2020,2020-8-5,2020-8-1,2020-8
598670,13405,339,08,6,2020,2020-8-6,2020-8-1,2020-8
608379,9709,287,08,7,2020,2020-8-7,2020-8-1,2020-8
621731,13352,281,08,8,2020,2020-8-8,2020-8-1,2020-8
627126,5395,98,08,9,2020,2020-8-9,2020-8-1,2020-8
628415,1289,37,08,10,2020,2020-8-10,2020-8-1,2020-8
639562,11147,420,08,11,2020,2020-8-11,2020-8-1,2020-8
655181,15619,298,08,12,2020,2020-8-12,2020-8-1,2020-8
674455,19274,455,08,13,2020,2020-8-13,2020-8-1,2020-8
686122,11667,289,08,14,2020,2020-8-14,2020-8-1,2020-8
697530,11408,167,08,15,2020,2020-8-15,2020-8-1,2020-8
699493,1963,72,08,16,2020,2020-8-16,2020-8-1,2020-8
702665,3172,47,08,17,2020,2020-8-17,2020-8-1,2020-8
711530,8865,416,08,18,2020,2020-8-18,2020-8-1,2020-8
721377,9847,276,08,19,2020,2020-8-19,2020-8-1,2020-8
730828,9451,314,08,20,2020,2020-8-20,2020-8-1,2020-8
735960,5132,250,08,21,2020,2020-8-21,2020-8-1,2020-8
749244,13284,237,08,22,2020,2020-8-22,2020-8-1,2020-8
754129,4885,75,08,23,2020,2020-8-23,2020-8-1,2020-8
756480,2351,38,08,24,2020,2020-8-24,2020-8-1,2020-8
765670,9190,407,08,25,2020,2020-8-25,2020-8-1,2020-8
776135,10465,282,08,26,2020,2020-8-26,2020-8-1,2020-8
784453,8318,221,08,27,2020,2020-8-27,2020-8-1,2020-8
796209,11756,279,08,28,2020,2020-8-28,2020-8-1,2020-8
801422,5213,250,08,29,2020,2020-8-29,2020-8-1,2020-8
803404,1982,34,08,30,2020,2020-8-30,2020-8-1,2020-8
804342,938,36,08,31,2020,2020-8-31,2020-8-1,2020-8
814375,10033,361,09,1,2020,2020-9-1,2020-9-1,2020-9
826331,11956,298,09,2,2020,2020-9-2,2020-9-1,2020-9
837978,11647,232,09,3,2020,2020-9-3,2020-9-1,2020-9
845016,7038,186,09,4,2020,2020-9-4,2020-9-1,2020-9
853085,8069,222,09,5,2020,2020-9-5,2020-9-1,2020-9
855722,2637,40,09,6,2020,2020-9-6,2020-9-1,2020-9
857330,1608,24,09,7,2020,2020-9-7,2020-9-1,2020-9
858783,1453,53,09,8,2020,2020-9-8,2020-9-1,2020-9
866576,7793,391,09,9,2020,2020-9-9,2020-9-1,2020-9
874754,8178,283,09,10,2020,2020-9-10,2020-9-1,2020-9
882809,8055,234,09,11,2020,2020-9-11,2020-9-1,2020-9
890690,7881,229,09,12,2020,2020-9-12,2020-9-1,2020-9
892257,1567,39,09,13,2020,2020-9-13,2020-9-1,2020-9
893349,1092,36,09,14,2020,2020-9-14,2020-9-1,2020-9
901271,7922,321,09,15,2020,2020-9-15,2020-9-1,2020-9
909428,8157,290,09,16,2020,2020-9-16,2020-9-1,2020-9
916821,7393,219,09,17,2020,2020-9-17,2020-9-1,2020-9
924532,7711,206,09,18,2020,2020-9-18,2020-9-1,2020-9
931673,7141,249,09,19,2020,2020-9-19,2020-9-1,2020-9
935300,3627,25,09,20,2020,2020-9-20,2020-9-1,2020-9
937332,2032,32,09,21,2020,2020-9-21,2020-9-1,2020-9
945422,8090,282,09,22,2020,2020-9-22,2020-9-1,2020-9
951973,6551,226,09,23,2020,2020-9-23,2020-9-1,2020-9
958240,6267,185,09,24,2020,2020-9-24,2020-9-1,2020-9
964921,6681,200,09,25,2020,2020-9-25,2020-9-1,2020-9
970888,5967,186,09,26,2020,2020-9-26,2020-9-1,2020-9
972237,1349,45,09,27,2020,2020-9-27,2020-9-1,2020-9
973142,905,17,09,28,2020,2020-9-28,2020-9-1,2020-9
979519,6377,266,09,29,2020,2020-9-29,2020-9-1,2020-9
985628,6109,231,09,30,2020,2020-9-30,2020-9-1,2020-9
991725,6097,182,10,1,2020,2020-10-1,2020-10-1,2020-10
997333,5608,152,10,2,2020,2020-10-2,2020-10-1,2020-10
1003429,6096,180,10,3,2020,2020-10-3,2020-10-1,2020-10
1003902,473,42,10,4,2020,2020-10-4,2020-10-1,2020-10
1004579,677,42,10,5,2020,2020-10-5,2020-10-1,2020-10
1010839,6260,270,10,6,2020,2020-10-6,2020-10-1,2020-10
1016755,5916,179,10,7,2020,2020-10-7,2020-10-1,2020-10
1022404,5649,215,10,8,2020,2020-10-8,2020-10-1,2020-10
1028190,5786,184,10,9,2020,2020-10-9,2020-10-1,2020-10
1034816,6626,155,10,10,2020,2020-10-10,2020-10-1,2020-10
1037660,2844,33,10,11,2020,2020-10-11,2020-10-1,2020-10
1038344,684,23,10,12,2020,2020-10-12,2020-10-1,2020-10
1039029,685,35,10,13,2020,2020-10-13,2020-10-1,2020-10
1045060,6031,227,10,14,2020,2020-10-14,2020-10-1,2020-10
1051613,6553,149,10,15,2020,2020-10-15,2020-10-1,2020-10
1057240,5627,180,10,16,2020,2020-10-16,2020-10-1,2020-10
1062634,5394,122,10,17,2020,2020-10-17,2020-10-1,2020-10
1063602,968,28,10,18,2020,2020-10-18,2020-10-1,2020-10
1064039,437,15,10,19,2020,2020-10-19,2020-10-1,2020-10
1068962,4923,211,10,20,2020,2020-10-20,2020-10-1,2020-10
1073261,4299,125,10,21,2020,2020-10-21,2020-10-1,2020-10
1076939,3678,111,10,22,2020,2020-10-22,2020-10-1,2020-10
1083641,6702,126,10,23,2020,2020-10-23,2020-10-1,2020-10
1089255,5614,118,10,24,2020,2020-10-24,2020-10-1,2020-10
1091980,2725,21,10,25,2020,2020-10-25,2020-10-1,2020-10
1092843,863,6,10,26,2020,2020-10-26,2020-10-1,2020-10
1098207,5364,132,10,27,2020,2020-10-27,2020-10-1,2020-10
1103582,5375,122,10,28,2020,2020-10-28,2020-10-1,2020-10
1108860,5278,112,10,29,2020,2020-10-29,2020-10-1,2020-10
1113788,4928,136,10,30,2020,2020-10-30,2020-10-1,2020-10
1116127,2339,56,10,31,2020,2020-10-31,2020-10-1,2020-10
1117147,1020,20,11,1,2020,2020-11-1,2020-11-1,2020-11
1117795,648,15,11,2,2020,2020-11-2,2020-11-1,2020-11
1118544,749,18,11,3,2020,2020-11-3,2020-11-1,2020-11
1123299,4755,185,11,4,2020,2020-11-4,2020-11-1,2020-11
1125936,2637,168,11,5,2020,2020-11-5,2020-11-1,2020-11
1125936,0,0,11,6,2020,2020-11-6,2020-11-1,2020-11
1125936,0,0,11,7,2020,2020-11-7,2020-11-1,2020-11
1125936,0,0,11,8,2020,2020-11-8,2020-11-1,2020-11
1125936,0,0,11,9,2020,2020-11-9,2020-11-1,2020-11
1147451,21515,0,11,10,2020,2020-11-10,2020-11-1,2020-11
1150872,3421,190,11,11,2020,2020-11-11,2020-11-1,2020-11
1156652,5780,295,11,12,2020,2020-11-12,2020-11-1,2020-11
1162782,6130,0,11,13,2020,2020-11-13,2020-11-1,2020-11
1167422,4640,347,11,14,2020,2020-11-14,2020-11-1,2020-11
1168640,1218,15,11,15,2020,2020-11-15,2020-11-1,2020-11
1169377,737,12,11,16,2020,2020-11-16,2020-11-1,2020-11
1178075,8698,173,11,17,2020,2020-11-17,2020-11-1,2020-11
1184496,6421,178,11,18,2020,2020-11-18,2020-11-1,2020-11
1191290,6794,147,11,19,2020,2020-11-19,2020-11-1,2020-11
1200348,9058,105,11,20,2020,2020-11-20,2020-11-1,2020-11
1205435,5087,77,11,21,2020,2020-11-21,2020-11-1,2020-11
1209588,4153,11,11,22,2020,2020-11-22,2020-11-1,2020-11
1210625,1037,9,11,23,2020,2020-11-23,2020-11-1,2020-11
1215844,5219,179,11,24,2020,2020-11-24,2020-11-1,2020-11
1224744,8900,146,11,25,2020,2020-11-25,2020-11-1,2020-11
1229267,4523,172,11,26,2020,2020-11-26,2020-11-1,2020-11
1233587,4320,129,11,27,2020,2020-11-27,2020-11-1,2020-11
1238094,4507,146,11,28,2020,2020-11-28,2020-11-1,2020-11
1240473,2379,28,11,29,2020,2020-11-29,2020-11-1,2020-11
1241653,1180,19,11,30,2020,2020-11-30,2020-11-1,2020-11
1250590,8937,195,12,1,2020,2020-12-1,2020-12-1,2020-12
1259704,9114,166,12,2,2020,2020-12-2,2020-12-1,2020-12
1267912,8208,181,12,3,2020,2020-12-3,2020-12-1,2020-12
1276149,8237,151,12,4,2020,2020-12-4,2020-12-1,2020-12
1285087,8938,181,12,5,2020,2020-12-5,2020-12-1,2020-12
1287762,2675,46,12,6,2020,2020-12-6,2020-12-1,2020-12
1288878,1116,25,12,7,2020,2020-12-7,2020-12-1,2020-12
1296801,7923,242,12,8,2020,2020-12-8,2020-12-1,2020-12
1306585,9784,179,12,9,2020,2020-12-9,2020-12-1,2020-12
1316371,9786,200,12,10,2020,2020-12-10,2020-12-1,2020-12
1325162,8791,141,12,11,2020,2020-12-11,2020-12-1,2020-12
1333763,8601,169,12,12,2020,2020-12-12,2020-12-1,2020-12
1334703,940,47,12,13,2020,2020-12-13,2020-12-1,2020-12
1337016,2313,32,12,14,2020,2020-12-14,2020-12-1,2020-12
1341428,4412,232,12,15,2020,2020-12-15,2020-12-1,2020-12
1341428,0,0,12,16,2020,2020-12-16,2020-12-1,2020-12
1361731,20303,399,12,17,2020,2020-12-17,2020-12-1,2020-12
1371653,9922,197,12,18,2020,2020-12-18,2020-12-1,2020-12
1384100,12447,151,12,19,2020,2020-12-19,2020-12-1,2020-12
1384100,0,0,12,20,2020,2020-12-20,2020-12-1,2020-12
1388043,3943,107,12,21,2020,2020-12-21,2020-12-1,2020-12
1398757,10714,259,12,22,2020,2020-12-22,2020-12-1,2020-12
1409140,10383,181,12,23,2020,2020-12-23,2020-12-1,2020-12
1418491,9351,182,12,24,2020,2020-12-24,2020-12-1,2020-12
1422087,3596,37,12,25,2020,2020-12-25,2020-12-1,2020-12
1423340,1253,13,12,26,2020,2020-12-26,2020-12-1,2020-12
1426176,2836,55,12,27,2020,2020-12-27,2020-12-1,2020-12
1427752,1576,39,12,28,2020,2020-12-28,2020-12-1,2020-12
1440229,12477,293,12,29,2020,2020-12-29,2020-12-1,2020-12
1452078,11849,282,12,30,2020,2020-12-30,2020-12-1,2020-12
1462297,10219,240,12,31,2020,2020-12-31,2020-12-1,2020-12
1466191,3894,58,01,1,2021,2021-1-1,2021-1-1,2021-1
1467953,1762,33,01,2,2021,2021-1-2,2021-1-1,2021-1
1471422,3469,37,01,3,2021,2021-1-3,2021-1-1,2021-1
1473670,2248,43,01,4,2021,2021-1-4,2021-1-1,2021-1
1486551,12881,334,01,5,2021,2021-1-5,2021-1-1,2021-1
1501085,14534,289,01,6,2021,2021-1-6,2021-1-1,2021-1
1515158,14073,257,01,7,2021,2021-1-7,2021-1-1,2021-1
1528952,13794,261,01,8,2021,2021-1-8,2021-1-1,2021-1
1540513,11561,269,01,9,2021,2021-1-9,2021-1-1,2021-1
1546132,5619,53,01,10,2021,2021-1-10,2021-1-1,2021-1
1549142,3010,28,01,11,2021,2021-1-11,2021-1-1,2021-1
1561844,12702,283,01,12,2021,2021-1-12,2021-1-1,2021-1
1577119,15275,323,01,13,2021,2021-1-13,2021-1-1,2021-1
1590829,13710,304,01,14,2021,2021-1-14,2021-1-1,2021-1
1605845,15016,311,01,15,2021,2021-1-15,2021-1-1,2021-1
1619619,13774,285,01,16,2021,2021-1-16,2021-1-1,2021-1
1625339,5720,60,01,17,2021,2021-1-17,2021-1-1,2021-1
