,Solução de investimento,Nome ,Mês,12 meses,10 anos,Performance média,Conceito
0,Fundo de investimento,Atmos Master FIA ,6.01,-22.77,475.11,152.78,A
1,Fundo de investimento,FIA Alvorada ,7.95,-5.17,122.53,41.77,C
2,Fundo de investimento,Dibra FIA ,37.33,41.92,135.72,71.66,C
3,Fundo de investimento,Dynamo Cougar FICFIA ,4.18,-29.77,213.05,62.49,C
4,Fundo de investimento,Opportunity Lógica Master FIA ,7.58,-11.05,154.41,50.31,C
5,Fundo de investimento,Núcleo Master FIA ,9.30,-17.56,318.30,103.35,B
6,Fundo de investimento,Velt Master FIA ,8.25,-32.56,234.88,70.19,C
7,Fundo de investimento,Squadra Master Long-Biased FIA ,7.17,-6.40,379.45,126.74,A
8,Fundo de investimento,Oceana Long Biased Master FIA ,4.04,0.29,344.01,116.11,A
9,Fundo de investimento,FIA Dividendos 114 ,7.32,-5.68,96.76,32.80,D
10,Exchange Traded Fund,BOVA11,8.29,-5.38,84.44,29.12,D