Data,Renda Primaria,Conta Financeira,Balança Comercial
1995,-10747.10,-16487.20,-11587.70
1996,-11374.30,-25596.30,-14915.20
1997,-14575.70,-34011.60,-17871.90
1998,-17840.10,-38048.60,-17404.50
1999,-18481.10,-25525.40,-9024.60
2000,-17481.30,-21995.60,-8999.40
2001,-19307.20,-24181.20,-6049.40
2002,-17718.00,-8157.90,7185.80
2003,-18135.00,2966.60,18856.00
2004,-20106.50,9020.00,27962.80
2005,-25552.60,13040.30,35838.20
2006,-26984.80,13114.70,35767.50
2007,-28999.90,-2496.30,25395.50
2008,-41805.70,-28806.30,6646.40
2009,-34982.60,-26354.00,5216.20
2010,-70244.80,-70172.30,-11888.10
2011,-69730.80,-80711.60,-9741.30
2012,-63876.40,-83669.30,-23393.10
2013,-37483.60,-78822.70,-46189.70
2014,-49426.70,-96856.10,-54977.50
2015,-37935.20,-56646.80,-19605.10
2016,-41542.90,-16092.50,13941.80
2017,-43169.60,-17075.00,19000.90
2018,-58824.00,-52341.70,7379.50
2019,-57271.60,-64356.80,-8942.40
2020,-38263.90,-12472.60,11428.30
2021,-50470.70,-33706.10,19251.60