Name,Author,User Rating,Reviews,Price,Year,Genre,ficcao
Killing Kennedy: The End of Camelot,Bill O'Reilly,4.6,8634,25,2012,Non Fiction,0
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,9342,10,2011,Non Fiction,0
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,9342,10,2012,Non Fiction,0
Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,10927,6,2014,Non Fiction,0
Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,5235,5,2015,Non Fiction,0
Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),Bill O'Reilly,4.8,8916,6,2016,Non Fiction,0
Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.),Anthony Bourdain,4.8,2507,8,2018,Non Fiction,0
Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,4,2013,Non Fiction,0
Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,4,2014,Non Fiction,0
Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,4,2015,Non Fiction,0
"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Childrens Book)",Jill Twiss,4.9,11881,13,2018,Fiction,1
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2013,Non Fiction,0
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2014,Non Fiction,0
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2015,Non Fiction,0
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2016,Non Fiction,0
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2017,Non Fiction,0
"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,4.5,6132,13,2013,Non Fiction,0
Leonardo da Vinci,Walter Isaacson,4.5,3014,21,2017,Non Fiction,0
Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,Paper Peony Press,4.4,7550,6,2018,Non Fiction,0
Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,4.8,3828,15,2009,Non Fiction,0
Life,Keith Richards,4.5,2752,18,2010,Non Fiction,0
Little Bee: A Novel,Chris Cleave,4.1,1467,10,2010,Fiction,1
Little Blue Truck,Alice Schertle,4.9,1884,0,2014,Fiction,1
Little Fires Everywhere,Celeste Ng,4.5,25706,12,2018,Fiction,1
Looking for Alaska,John Green,4.5,8491,7,2014,Fiction,1
"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,4.2,1649,13,2011,Non Fiction,0
Love You Forever,Robert Munsch,4.8,18613,5,2014,Fiction,1
Love You Forever,Robert Munsch,4.8,18613,5,2015,Fiction,1
Magnolia Table: A Collection of Recipes for Gathering,Joanna Gaines,4.8,9867,16,2018,Non Fiction,0
Make It Ahead: A Barefoot Contessa Cookbook,Ina Garten,4.5,1386,20,2014,Non Fiction,0
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Admiral William H. McRaven,4.7,10199,11,2017,Non Fiction,0
"Mastering the Art of French Cooking, Vol. 2",Julia Child,4.8,2926,27,2009,Non Fiction,0
Milk and Honey,Rupi Kaur,4.7,17739,8,2016,Non Fiction,0
Milk and Honey,Rupi Kaur,4.7,17739,8,2017,Non Fiction,0
Milk and Honey,Rupi Kaur,4.7,17739,8,2018,Non Fiction,0
Milk and Vine: Inspirational Quotes From Classic Vines,Adam Gasiewski,4.4,3113,6,2017,Non Fiction,0
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,5542,10,2014,Non Fiction,0
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,5542,10,2015,Non Fiction,0
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,5542,10,2016,Non Fiction,0
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,8,2010,Fiction,1
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,8,2011,Fiction,1
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,8,2012,Fiction,1
"National Geographic Kids Why?: Over 1,111 Answers to Everything",Crispin Boyer,4.8,5347,16,2019,Non Fiction,0
National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),Amy Shields,4.8,7866,11,2019,Non Fiction,0
New Moon (The Twilight Saga),Stephenie Meyer,4.6,5680,10,2009,Fiction,1
Night (Night),Elie Wiesel,4.7,5178,9,2016,Non Fiction,0
No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,4.6,8093,14,2012,Non Fiction,0
Obama: An Intimate Portrait,Pete Souza,4.9,3192,22,2017,Non Fiction,0
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2012,Fiction,1
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2013,Fiction,1
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2014,Fiction,1
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2015,Fiction,1
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2016,Fiction,1
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2017,Fiction,1
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2018,Fiction,1
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2019,Fiction,1
Old School (Diary of a Wimpy Kid #10),Jeff Kinney,4.8,6169,7,2015,Fiction,1
Olive Kitteridge,Elizabeth Strout,4.2,4519,12,2009,Fiction,1
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,3163,13,2011,Non Fiction,0
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,3163,13,2012,Non Fiction,0
"Option B: Facing Adversity, Building Resilience, and Finding Joy",Sheryl Sandberg,4.5,1831,9,2017,Non Fiction,0
Origin: A Novel (Robert Langdon),Dan Brown,4.3,18904,13,2017,Fiction,1
Orphan Train,Christina Baker Kline,4.6,21930,11,2014,Fiction,1
Outliers: The Story of Success,Malcolm Gladwell,4.6,10426,20,2009,Non Fiction,0
Outliers: The Story of Success,Malcolm Gladwell,4.6,10426,20,2010,Non Fiction,0
P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.7,10820,5,2018,Non Fiction,0
P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.7,10820,5,2019,Non Fiction,0
Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),Rick Riordan,4.8,548,2,2010,Fiction,1
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,16990,27,2017,Fiction,1
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,16990,27,2018,Fiction,1
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,16990,27,2019,Fiction,1
Pokémon Deluxe Essential Handbook: The Need-to-Know Stats and Facts on Over 700 Pokémon,Scholastic,4.7,3503,9,2016,Fiction,1
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,13616,10,2012,Non Fiction,0
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,13616,10,2013,Non Fiction,0
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2009,Non Fiction,0
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2010,Non Fiction,0
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2011,Non Fiction,0
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2012,Non Fiction,0
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2013,Non Fiction,0
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2014,Non Fiction,0
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2015,Non Fiction,0
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2016,Non Fiction,0
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2017,Non Fiction,0
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2018,Non Fiction,0
Puppy Birthday to You! (Paw Patrol) (Little Golden Book),Golden Books,4.8,4757,4,2017,Fiction,1
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.6,10009,20,2012,Non Fiction,0
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.6,10009,7,2013,Non Fiction,0
Radical: Taking Back Your Faith from the American Dream,David Platt,4.7,1985,9,2010,Non Fiction,0
Radical: Taking Back Your Faith from the American Dream,David Platt,4.7,1985,9,2011,Non Fiction,0
Ready Player One: A Novel,Ernest Cline,4.6,22536,12,2017,Fiction,1
Ready Player One: A Novel,Ernest Cline,4.6,22536,12,2018,Fiction,1
Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),Rush Limbaugh,4.9,7150,12,2013,Fiction,1
Rush Revere and the First Patriots: Time-Travel Adventures With Exceptional Americans (2),Rush Limbaugh,4.9,3836,12,2014,Fiction,1
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,4.8,7802,20,2018,Non Fiction,0
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,4.8,7802,20,2019,Non Fiction,0
Sarah's Key,Tatiana de Rosnay,4.6,3619,10,2010,Fiction,1
"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading…",School Zone,4.8,23047,6,2018,Non Fiction,0
"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading…",School Zone,4.8,23047,6,2019,Non Fiction,0
"Secret Garden: An Inky Treasure Hunt and Coloring Book (For Adults, mindfulness coloring)",Johanna Basford,4.7,9366,9,2015,Non Fiction,0
Sh*t My Dad Says,Justin Halpern,4.7,1265,11,2010,Non Fiction,0
Ship of Fools: How a Selfish Ruling Class Is Bringing America to the Brink of Revolution,Tucker Carlson,4.8,3923,16,2018,Non Fiction,0
Shred: The Revolutionary Diet: 6 Weeks 4 Inches 2 Sizes,Ian K. Smith M.D.,4.1,2272,6,2013,Non Fiction,0
Sookie Stackhouse,Charlaine Harris,4.7,973,25,2009,Fiction,1
"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual…",Zhi Gang Sha,4.6,220,17,2013,Non Fiction,0
Steve Jobs,Walter Isaacson,4.6,7827,20,2011,Non Fiction,0
Steve Jobs,Walter Isaacson,4.6,7827,20,2012,Non Fiction,0
Strange Planet (Strange Planet Series),Nathan W. Pyle,4.9,9382,6,2019,Fiction,1
StrengthsFinder 2.0,Gallup,4,5069,17,2009,Non Fiction,0
StrengthsFinder 2.0,Gallup,4,5069,17,2010,Non Fiction,0
StrengthsFinder 2.0,Gallup,4,5069,17,2011,Non Fiction,0
StrengthsFinder 2.0,Gallup,4,5069,17,2012,Non Fiction,0
StrengthsFinder 2.0,Gallup,4,5069,17,2013,Non Fiction,0
StrengthsFinder 2.0,Gallup,4,5069,17,2014,Non Fiction,0
StrengthsFinder 2.0,Gallup,4,5069,17,2015,Non Fiction,0
StrengthsFinder 2.0,Gallup,4,5069,17,2016,Non Fiction,0
StrengthsFinder 2.0,Gallup,4,5069,17,2017,Non Fiction,0
"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",Steven D. Levitt,4.5,1583,18,2009,Non Fiction,0
Switch: How to Change Things When Change Is Hard,Chip Heath,4.6,1907,13,2010,Non Fiction,0
Sycamore Row (Jake Brigance),John Grisham,4.5,23114,18,2013,Fiction,1
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,4.4,637,20,2010,Non Fiction,0
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,4.4,637,20,2011,Non Fiction,0
The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,Mike Moreno,4.3,2314,22,2011,Non Fiction,0
"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",Timothy Ferriss,4.3,4587,21,2011,Non Fiction,0
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,3477,28,2010,Non Fiction,0
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,3477,28,2011,Non Fiction,0
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,3477,28,2012,Non Fiction,0
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,3477,28,2013,Non Fiction,0
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,3477,28,2014,Non Fiction,0
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,25554,8,2015,Non Fiction,0
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,25554,8,2016,Non Fiction,0
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,25554,8,2017,Non Fiction,0
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,25554,8,2018,Non Fiction,0
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,25554,8,2019,Non Fiction,0
The 5000 Year Leap,W. Cleon Skousen,4.8,1680,12,2009,Non Fiction,0
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,9325,24,2009,Non Fiction,0
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,9325,24,2011,Non Fiction,0
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,9325,24,2012,Non Fiction,0
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,9325,24,2013,Non Fiction,0
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.7,4725,16,2015,Non Fiction,0
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.7,4725,16,2016,Non Fiction,0
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.7,4725,16,2017,Non Fiction,0
The Alchemist,Paulo Coelho,4.7,35799,39,2014,Fiction,1
The Amateur,Edward Klein,4.6,2580,9,2012,Non Fiction,0
The Art of Racing in the Rain: A Novel,Garth Stein,4.7,11813,10,2010,Fiction,1
The Art of Racing in the Rain: A Novel,Garth Stein,4.7,11813,10,2011,Fiction,1
The Big Short: Inside the Doomsday Machine,Michael Lewis,4.7,3536,17,2010,Non Fiction,0
The Blood of Olympus (The Heroes of Olympus (5)),Rick Riordan,4.8,6600,11,2014,Fiction,1
"The Blood Sugar Solution: The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now!",Mark Hyman M.D.,4.2,1789,14,2012,Non Fiction,0
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,4.8,12361,12,2019,Non Fiction,0
The Book of Basketball: The NBA According to The Sports Guy,Bill Simmons,4.7,858,53,2009,Non Fiction,0
The Book Thief,Markus Zusak,4.6,23148,6,2013,Fiction,1
The Book Thief,Markus Zusak,4.6,23148,6,2014,Fiction,1
The Book with No Pictures,B. J. Novak,4.8,8081,8,2014,Fiction,1
The Book with No Pictures,B. J. Novak,4.8,8081,8,2015,Fiction,1
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,4.8,23358,12,2014,Non Fiction,0
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,4.8,23358,12,2015,Non Fiction,0
The Casual Vacancy,J.K. Rowling,3.3,9372,12,2012,Fiction,1
The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet…,Thomas Campbell,4.7,4633,21,2011,Non Fiction,0
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,Amy Ramos,4.3,13061,6,2018,Non Fiction,0
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,Amy Ramos,4.3,13061,6,2019,Non Fiction,0
The Confession: A Novel,John Grisham,4.3,3523,13,2010,Fiction,1
The Constitution of the United States,Delegates of the Constitutional,4.8,2774,0,2016,Non Fiction,0
The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,Jon Stewart,4.4,440,11,2010,Non Fiction,0
The Day the Crayons Quit,Drew Daywalt,4.8,8922,9,2013,Fiction,1
The Day the Crayons Quit,Drew Daywalt,4.8,8922,9,2014,Fiction,1
The Day the Crayons Quit,Drew Daywalt,4.8,8922,9,2015,Fiction,1
"The Dukan Diet: 2 Steps to Lose the Weight, 2 Steps to Keep It Off Forever",Pierre Dukan,4.1,2023,15,2011,Non Fiction,0
The Elegance of the Hedgehog,Muriel Barbery,4,1859,11,2009,Fiction,1
The Fault in Our Stars,John Green,4.7,50482,13,2012,Fiction,1
The Fault in Our Stars,John Green,4.7,50482,13,2013,Fiction,1
The Fault in Our Stars,John Green,4.7,50482,7,2014,Fiction,1
The Fault in Our Stars,John Green,4.7,50482,13,2014,Fiction,1
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207,6,2009,Non Fiction,0
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207,6,2010,Non Fiction,0
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207,6,2011,Non Fiction,0
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207,6,2012,Non Fiction,0
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207,6,2013,Non Fiction,0
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Gary Chapman,4.6,803,9,2009,Non Fiction,0
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,23308,6,2013,Non Fiction,0
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,23308,6,2015,Non Fiction,0
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,23308,6,2016,Non Fiction,0
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,23308,6,2017,Non Fiction,0
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,23308,6,2018,Non Fiction,0
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,23308,6,2019,Non Fiction,0
The Getaway,Jeff Kinney,4.8,5836,0,2017,Fiction,1
The Girl on the Train,Paula Hawkins,4.1,79446,18,2015,Fiction,1
The Girl on the Train,Paula Hawkins,4.1,79446,7,2016,Fiction,1
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,4.7,7747,14,2010,Fiction,1
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,4.7,7747,14,2011,Fiction,1
The Girl Who Played with Fire (Millennium Series),Stieg Larsson,4.7,7251,9,2010,Fiction,1
The Girl Who Played with Fire (Millennium),Stieg Larsson,4.7,7251,16,2009,Fiction,1
The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,4.4,10559,2,2009,Fiction,1
The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,4.4,10559,2,2010,Fiction,1
The Going-To-Bed Book,Sandra Boynton,4.8,5249,5,2016,Fiction,1
The Going-To-Bed Book,Sandra Boynton,4.8,5249,5,2017,Fiction,1
The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,3.9,33844,20,2013,Fiction,1
The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,3.9,33844,20,2014,Fiction,1
The Great Gatsby,F. Scott Fitzgerald,4.4,11616,7,2012,Fiction,1
The Great Gatsby,F. Scott Fitzgerald,4.4,11616,7,2013,Fiction,1
The Great Gatsby,F. Scott Fitzgerald,4.4,11616,7,2014,Fiction,1
The Guardians: A Novel,John Grisham,4.5,13609,14,2019,Fiction,1
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.7,8587,10,2009,Fiction,1