Inadimplencia,Valor ,Motivo,Trabalho,Negados,Idade,Genero
1,1100,2,2,0,94,0
1,1300,2,3,2,12,1
1,1500,2,0,0,14,0
0,1700,2,2,0,93,0
1,1700,2,1,0,10,0
1,1800,2,2,2,77.1,0
1,1800,2,2,0,88,0
1,2000,2,2,2,21,0
1,2000,2,2,0,115.8,0
1,2000,,2,,,0
1,2000,2,2,1,12,1
1,2000,2,3,0,86,1
0,2000,,2,0,14,1
1,2100,2,2,1,123,0
1,2200,2,2,1,30,1
1,2200,2,2,6,122.9,1
1,2200,,1,,,0
1,2300,2,3,0,54.6,0
0,2300,2,2,0,90,1
1,2300,2,2,1,12,0
1,2400,2,2,0,,0
1,2400,2,2,0,67.2,0
1,2400,2,2,2,12,0
1,2400,2,2,0,14,0
1,2400,2,2,0,70,0
0,2400,2,2,0,93,0
1,2500,2,2,0,13,0
1,2500,2,1,2,27,1
0,2500,2,2,0,208,0
0,2500,2,2,0,25,0
1,2800,2,1,15,14,0
1,2800,2,2,0,11,0
1,2900,1,2,0,16,0
0,2900,2,2,0,9,0
0,2900,2,1,0,10,1
1,2900,2,2,0,12,0
1,2900,1,2,0,28,0
0,3000,2,2,0,85,0
1,3000,2,2,0,50.8,0
1,3000,2,2,1,77,0
1,3000,2,2,1,23.3,0
1,3000,2,2,0,13,0
1,3000,1,1,0,18,0
1,3000,2,2,0,9.3,0
1,3000,2,2,0,104.2,1
1,3000,2,2,1,26,1
1,3000,2,1,2,62,0
0,3000,2,2,2,21,1
0,3000,2,2,0,20,0
1,3100,2,2,0,15,1
0,3100,,2,,,0
0,3200,2,2,1,20,0
1,3200,2,2,4,12,0
1,3200,2,2,0,29,0
1,3200,2,2,0,12,0
0,3200,2,2,0,25,0
1,3200,2,1,2,11,0
1,3300,2,1,0,139,1
1,3300,1,2,6,19,1
1,3400,2,2,1,18,1
1,3500,2,2,0,16,0
1,3500,2,2,0,95,0
1,3600,2,2,,,0
1,3600,2,2,0,72,0
0,3600,2,2,0,19,1
0,3600,2,2,2,20,0
0,3600,2,2,0,88,1
1,3600,1,1,4,97.4,0
0,3600,2,2,0,20,0
1,3700,2,3,0,12,1
1,3800,2,2,6,25,1
0,3800,2,3,0,20,0
0,3800,,2,,,0
0,3800,2,3,0,20,1
1,3900,2,2,0,14,0
1,3900,2,2,1,150.3,0
0,3900,1,0,4,17,0
0,3900,2,2,0,85,0
1,3900,1,2,1,86,0
0,4000,2,2,0,94,0
0,4000,2,2,0,20,1
1,4000,2,3,2,12,0
1,4000,2,2,0,11,1
1,4000,2,3,1,85,1
1,4000,1,2,0,92,0
1,4000,2,1,3,13,1
1,4000,2,2,1,16,1
1,4000,1,2,0,12.2,0
1,4000,2,3,0,162,0
1,4000,2,3,1,85.8,0
0,4000,2,2,0,279,0
0,4000,2,1,0,,0
0,4000,2,2,0,10,1
0,4000,2,2,0,160.3,0
1,4000,2,2,3,18,0
1,4000,1,2,0,146.1,0
0,4000,2,2,1,21,1
0,4000,2,3,2,22,0
1,4100,2,3,0,10,0
1,4100,2,1,2,63,0
0,4100,1,2,4,16,0
0,4200,2,1,0,21,0
1,4200,2,1,0,93.5,1
0,4200,1,2,0,12,0
0,4200,1,1,1,75,0
0,4200,2,2,0,11,0
0,4200,2,2,0,20,0
0,4300,1,2,0,12,0
0,4300,2,3,0,10,1
0,4300,2,2,0,26,0
0,4400,1,3,3,16,0
0,4400,,2,,,1
1,4400,1,3,3,8,0
0,4500,2,2,0,81,1
0,4500,,3,,,0
1,4500,2,2,0,17,0
0,4500,2,2,0,11,1
0,4500,2,2,0,,1
1,4500,2,2,,222.6,1
1,4500,2,2,1,122.6,0
1,4500,1,2,4,125.8,1
0,4500,2,2,0,86,1
1,4500,2,1,0,20,0
1,4500,2,1,3,80.1,0
0,4700,,2,0,14,1
0,4700,2,2,0,28,0
0,4700,1,2,0,5,0
1,4700,2,2,0,61.8,0
0,4700,2,3,0,18,0
1,4700,2,1,2,90,1
0,4800,,3,0,13,1
0,4800,1,2,3,16,0
0,4800,2,3,0,27,0
0,4900,1,3,3,17,0
0,4900,,1,0,14,1
1,4900,2,2,0,10,1
0,4900,2,1,0,11,0
1,4900,2,2,0,81.5,0
0,4900,2,2,,,0
0,4900,1,2,0,13,1
1,4900,2,3,2,6,0
0,4900,1,1,4,18,1
0,4900,,2,,,0
0,5000,2,0,,,0
0,5000,1,2,0,65,1
0,5000,2,2,0,12,0
0,5000,2,3,0,20,1
0,5000,2,2,0,19,1
1,5000,2,3,0,65.7,0
1,5000,2,1,0,61,0
1,5000,2,1,1,58,0
1,5000,2,1,,,0
1,5000,2,2,0,100.3,0
1,5000,2,2,,,1
1,5000,2,2,2,121.9,0
1,5000,2,2,0,54,1
1,5000,2,2,0,57,0
1,5000,2,1,0,72,0
1,5000,2,2,,,0
1,5000,2,1,0,88.7,0
1,5000,2,3,1,28,0
1,5000,2,2,0,74,1
1,5000,2,1,1,33,0
1,5000,2,2,,,0
1,5000,2,1,,,0
0,5000,1,0,0,12,0
0,5000,1,2,1,30,1
0,5000,2,2,0,18,1
0,5000,2,1,,17,1
0,5000,1,2,0,27,0
0,5000,1,2,,,0
0,5000,2,1,0,266.8,1
0,5000,1,2,,,1
0,5000,2,2,0,51,0
1,5000,2,3,3,10,0
0,5000,1,3,0,51,1
0,5000,1,2,0,21,0
1,5000,2,1,6,228.3,0
1,5000,2,2,0,133.9,0
1,5000,2,2,3,12,0
1,5000,1,2,0,13,0
1,5000,1,3,1,82,0
1,5000,1,2,0,222.2,0
1,5000,2,2,2,16,0
1,5000,1,1,2,14,0
0,5000,2,2,,1,0
1,5000,2,2,0,97.1,1
0,5000,1,1,0,12,0
0,5000,,2,0,14,0
0,5000,1,3,1,69,1
1,5000,2,1,2,14,0
0,5000,2,3,0,2,0
0,5000,2,2,0,12,0
0,5100,1,2,0,12,0
0,5100,2,2,0,17,0
0,5100,2,1,0,27,1
1,5100,2,2,0,69,1
0,5100,1,1,0,25,1
0,5100,2,2,0,18,0
0,5100,1,2,0,27,0
1,5100,2,3,0,21.2,0
0,5100,2,2,,41,0
1,5100,1,2,2,86,0
1,5100,2,2,0,15,0
0,5100,2,1,0,29,0
0,5100,1,2,0,12,0
0,5100,1,2,0,1,0
0,5100,2,1,0,10,0
0,5200,1,1,0,26,0
0,5200,2,2,1,119.7,0
0,5200,2,2,,18,0
0,5200,1,2,0,17.2,1
1,5200,1,2,1,81.1,0
0,5200,2,2,0,12,0
0,5200,2,2,0,22,0
1,5200,2,1,0,15,1
0,5300,1,3,,,0
0,5300,2,1,0,17,0
1,5300,2,2,0,30,0
0,5300,2,2,0,,1
0,5300,2,2,,18,0
1,5300,2,2,0,98,1
0,5300,1,3,0,1,0
0,5300,2,2,0,10,0
0,5300,2,1,1,21,0
0,5300,1,2,,,0
0,5300,2,1,0,20,0
0,5300,2,3,0,19,0
0,5400,1,2,0,69,0
0,5400,2,0,0,40,0
0,5400,2,1,,18,0
1,5400,1,2,0,95.6,0
1,5400,2,1,1,199.9,0
0,5400,2,3,0,18,0
0,5400,1,2,0,13,0
0,5400,2,2,0,1,0
0,5400,,2,,,0
1,5400,2,1,0,102.5,0
0,5400,1,3,0,78,1
0,5500,2,2,1,11,0
0,5500,2,3,,,1
0,5500,1,1,0,55,0
0,5500,2,2,0,18,0
1,5500,1,2,3,15,1
1,5500,2,3,,,1
0,5500,1,2,0,21,0
1,5500,1,2,2,130.8,0
1,5500,2,2,1,16,0
0,5500,2,2,0,18,0
0,5500,2,2,0,18,1
0,5500,1,2,,,1
0,5500,2,2,0,1,1
1,5500,2,2,1,13,1
1,5500,2,1,1,82,0
1,5500,2,3,2,48,0
0,5500,2,1,0,43,0
0,5500,2,3,0,15,0
1,5500,1,3,0,17,0
0,5600,2,2,0,20,1
0,5600,1,2,0,20,1
0,5600,2,1,0,18,0
0,5600,2,2,0,91,1
1,5600,2,2,1,20,0
1,5600,2,2,1,14,1
0,5600,2,1,,18,0
0,5600,2,1,0,20,0
0,5700,2,1,0,11,0
0,5700,,3,,,1
0,5700,2,2,0,21,0
0,5700,2,2,0,12,0
0,5700,2,3,0,18,0
0,5700,2,2,0,69,1
0,5700,1,2,0,21,0
0,5700,1,2,0,21,0
1,5700,1,1,0,95.9,0
1,5700,2,2,0,177.5,0
1,5700,2,2,0,104.4,1
1,5700,1,2,0,97,0
0,5700,2,2,0,1,1
0,5700,2,2,0,92,0
0,5700,2,2,0,27,0
1,5700,1,3,0,15,0
0,5700,1,1,0,15,0
0,5700,,2,,,0
0,5700,2,2,0,48,0
0,5800,2,2,0,26,1
0,5800,2,2,0,26,0
0,5800,1,3,0,3,0
0,5800,1,3,1,3,1
1,5800,1,2,0,83,0
0,5800,1,2,0,12,0
0,5800,2,2,,,0
0,5800,2,2,0,71,1
0,5800,2,2,0,80,0
1,5900,1,1,1,36,0
0,5900,2,2,0,12,1
1,5900,2,2,0,238.6,1
0,5900,2,2,0,,0
0,5900,1,3,,,0
1,5900,1,2,2,15,0
0,5900,2,2,1,11,1
0,5900,,3,,,1
1,5900,1,2,6,25,0
0,6000,,3,,,0
0,6000,2,1,0,1,0
1,6000,2,2,1,15,0
1,6000,2,2,1,116.1,1
1,6000,,2,3,69.3,0
1,6000,2,1,2,12,1
1,6000,2,2,0,14,0
1,6000,1,3,0,90,0
1,6000,2,2,0,51,0
1,6000,1,2,1,136.3,1
1,6000,1,2,0,83,0
1,6000,,1,1,218.6,0
0,6000,2,2,0,343.9,0
0,6000,2,2,,101.5,0
0,6000,1,2,2,105.4,1
0,6000,2,2,1,17,0
0,6000,2,1,0,22,1
0,6000,2,2,2,12,0
0,6000,2,1,,10,0
0,6000,2,0,0,32,0
1,6000,2,3,4,101.4,0
1,6000,2,3,3,119.7,1
1,6000,1,2,0,90.3,0
1,6000,2,2,2,129.9,0
0,6000,2,2,0,18,1
0,6000,2,2,0,,0
1,6000,2,2,,,0
0,6000,2,2,0,21,0
0,6100,1,2,4,111.3,1
0,6100,,1,,,1
0,6100,2,2,0,12,1
0,6100,2,2,0,7,0
0,6100,2,3,,303,0
1,6100,2,1,0,13,1
0,6100,2,2,,17,1
0,6100,2,1,0,1,0
0,6100,2,2,0,35,0
0,6100,2,2,1,,1
0,6100,1,2,,,1
0,6100,1,1,,,0
0,6200,1,1,0,12,0
0,6200,1,2,0,13,0
0,6200,2,2,,,1
0,6200,2,2,0,8,0
0,6200,2,0,0,21,1
0,6200,1,2,0,20,0
0,6200,2,2,,29,0
1,6200,1,2,,80.5,1
0,6200,,2,,,1
1,6200,1,2,1,164.8,0
0,6200,2,1,0,16,0
0,6200,2,3,1,1,0
0,6200,1,2,1,63,0
0,6200,1,1,,,0
0,6200,,1,,,0
0,6200,2,2,0,21,0
0,6200,2,2,0,32,1
0,6200,2,1,,10,0
0,6300,2,2,0,12,0
0,6300,1,3,0,13,1
0,6300,2,3,0,41,0
0,6300,1,2,0,63,0
0,6300,2,0,,29,0
0,6300,2,2,0,33,0
1,6300,1,2,0,12,1
1,6300,1,2,0,84,0
0,6300,1,3,0,20,1
0,6300,2,2,0,19,0
0,6300,1,2,4,15,0
0,6300,1,2,4,11,1
0,6300,1,1,,,0
1,6300,2,1,6,22,1
0,6300,2,3,0,16,1
0,6300,1,1,0,12,0
1,6400,2,2,2,128,0
0,6400,2,2,,4,0
0,6400,1,2,,,1
0,6400,2,2,,10,0
0,6400,1,2,3,16,1
0,6400,2,3,0,26,1
0,6400,2,2,0,32,0
0,6400,2,2,1,2,0
0,6400,1,2,0,13,1
0,6400,2,2,0,10,1
0,6400,1,2,0,14,0
0,6400,2,1,,17,0
0,6400,1,2,0,20,1
0,6400,2,0,,10,0
0,6400,2,2,0,20,1
0,6400,1,1,0,1,0
0,6400,2,2,1,12,1
0,6500,2,2,,18,0
0,6500,2,0,,33,0
1,6500,2,2,0,12,1
0,6500,1,1,,,0
0,6500,2,2,2,1,0
0,6500,2,3,0,1,1
0,6500,1,0,,,0
0,6500,1,2,0,20,0
1,6500,2,1,5,11,0
1,6500,1,2,0,97,0
1,6500,1,2,0,22,0
0,6500,2,2,0,11,0
0,6500,2,2,0,33,0
0,6500,2,2,0,234.4,0
0,6500,1,2,0,54,0
0,6500,1,3,0,24,0
1,6500,2,2,0,475.8,1
0,6500,2,2,0,32,0
0,6500,,2,,,0
1,6500,1,2,0,86,0
0,6500,1,1,1,9,1
0,6600,2,3,0,23,0
0,6600,1,2,,,0
0,6600,2,2,0,,1
0,6600,2,2,0,96,1
0,6600,2,2,,17,1
0,6600,2,2,0,12,1
0,6600,2,2,0,,0
0,6600,2,2,,42,0
0,6700,,2,,,0
0,6700,2,2,0,84,1
1,6700,2,1,0,19,0
0,6700,1,2,0,28,0
0,6700,2,2,0,99,0
0,6700,1,1,3,1,0
1,6700,1,2,2,17,1
1,6700,2,2,,,0
0,6700,2,2,0,26,0
0,6700,2,1,0,19,0
0,6700,2,2,,10,0
0,6700,2,2,0,11,0
0,6700,1,2,0,43,0
1,6700,2,2,0,17,0
0,6700,2,2,0,20,1
0,6700,2,2,0,21,0
0,6800,2,2,0,2,1
0,6800,2,1,0,20,0
0,6800,1,2,4,1,1
0,6800,1,2,,,0
0,6800,2,2,0,20,0
0,6800,2,1,2,12,1
0,6800,2,2,0,34,1
1,6800,1,2,0,10,1
0,6800,1,2,1,94,0
0,6800,2,2,0,20,1
1,6800,2,2,0,20,0
0,6800,1,2,0,12,0
0,6800,2,2,0,48,1
0,6800,2,2,1,19,0
0,6800,1,2,1,29,0
0,6900,1,1,0,23,0
0,6900,2,1,0,11,1
0,6900,2,2,0,87,0
1,6900,1,2,0,1,0
1,6900,2,2,2,67.8,1
1,6900,1,2,0,13,0
1,6900,2,2,0,12,0
0,6900,2,2,0,11,0
0,6900,1,2,0,61.9,1
0,6900,,2,,,0
0,6900,1,2,3,10,0
0,6900,2,1,0,20,0
0,6900,1,2,0,2,1
0,6900,2,3,,31,0
0,7000,2,2,,421,1
0,7000,1,3,0,23,0
0,7000,2,2,1,17,0
0,7000,2,3,,1,1
0,7000,2,2,1,17,0
0,7000,2,2,0,21,0
0,7000,2,0,0,34,0
0,7000,2,2,0,21,1
0,7000,2,2,1,19,0
0,7000,1,2,0,90,0
1,7000,2,2,0,87,0
1,7000,1,1,0,134.7,0
1,7000,2,2,,,1
1,7000,2,2,1,183.1,0
1,7000,1,1,1,24,1
1,7000,1,2,1,13,1
0,7000,1,3,0,21,0
0,7000,2,1,0,10,0
0,7000,1,3,0,26,0
0,7000,1,2,0,234.4,1
0,7000,,2,,,0
0,7000,2,2,0,229.3,0
0,7000,2,1,0,84,0
0,7000,1,2,4,21,1
1,7000,2,1,0,18,1
1,7000,2,2,0,41,0
1,7000,1,2,0,86,0
