Inadimplencia,Valor ,Motivo,Trabalho,Negados,Idade,Genero
1,7000,2,3,0,96,0
1,7000,1,2,0,39,0
1,7000,1,2,0,20,0
1,7000,2,2,0,34,0
1,7000,2,1,0,54,0
0,7000,2,2,0,80,1
1,7000,2,2,,,0
0,7000,2,1,0,20,0
0,7000,2,1,0,20,0
0,7000,2,2,0,31,1
1,7100,,2,1,19,0
1,7100,1,2,1,71,0
0,7100,2,2,0,48,0
0,7100,2,2,0,11,0
0,7100,1,2,0,55,0
0,7100,2,1,0,2,0
0,7100,1,3,0,29,0
0,7100,1,1,0,22,0
0,7100,1,2,0,12,0
0,7100,1,2,0,65,0
0,7100,2,2,0,10,1
0,7100,2,2,0,84,0
1,7200,1,3,1,98,1
0,7200,1,2,0,5,0
0,7200,2,1,0,24,0
0,7200,2,2,0,11,0
0,7200,1,1,0,23,1
0,7200,1,3,0,82,0
1,7200,1,2,0,142,1
1,7200,1,0,2,23,1
0,7200,2,1,,29,0
1,7200,2,2,1,35,1
0,7200,2,1,0,40,0
0,7200,1,3,1,24,0
1,7200,2,2,0,70,0
0,7200,1,2,,,0
0,7200,1,2,0,38,1
1,7300,2,1,0,74,0
1,7300,1,3,1,45,0
1,7300,2,2,,,0
1,7300,1,3,,,0
0,7300,1,1,0,68,1
0,7300,2,2,0,24,1
0,7300,2,2,0,23,0
0,7300,2,3,,41,1
0,7300,1,2,4,10,0
0,7300,1,2,0,60,0
0,7400,1,2,0,2,0
0,7400,1,2,,,0
1,7400,2,2,0,96,0
0,7400,2,2,0,27,0
0,7400,2,2,0,22,1
0,7400,2,2,0,19,0
0,7400,1,1,,,1
0,7400,1,3,0,20,0
0,7400,1,1,0,23,1
0,7400,2,3,0,,0
0,7400,2,3,0,8,0
0,7400,2,2,1,14,0
1,7400,1,2,0,94,1
0,7400,2,1,0,23,0
0,7400,1,2,0,12,1
0,7400,1,2,1,31,1
1,7500,2,2,3,15,0
0,7500,1,1,0,6,0
1,7500,1,1,5,86,0
0,7500,1,1,3,22,0
0,7500,2,3,0,11,1
1,7500,1,2,0,22,0
0,7500,1,2,0,79,0
0,7500,,3,,,1
0,7500,2,2,0,15,0
0,7500,1,2,0,47,0
0,7500,1,2,0,56,0
0,7500,1,1,0,2,1
1,7500,2,2,3,29,1
1,7500,2,2,,58,0
1,7500,2,2,0,12,1
1,7500,1,2,0,47,1
1,7500,2,2,0,35,0
1,7500,1,2,0,14,1
1,7500,1,3,1,12,1
1,7500,2,1,0,,1
1,7500,2,2,1,20,0
1,7500,2,2,0,15,0
1,7500,2,2,2,75,0
0,7500,1,2,0,56,0
0,7500,2,3,0,18,1
0,7500,2,3,0,17,0
1,7500,2,2,3,17,1
1,7500,1,2,0,47,1
1,7500,2,2,4,34,0
1,7500,1,2,3,12,0
1,7500,2,2,,15,0
1,7500,2,1,6,23,0
0,7500,1,2,0,22,1
0,7500,1,2,0,60,1
0,7500,2,2,0,24,1
1,7500,2,3,5,29,1
0,7600,1,2,0,87,0
0,7600,1,2,,,1
0,7600,1,3,1,92,1
0,7600,2,2,0,24,0
0,7600,2,3,0,18,0
0,7600,1,1,1,64,0
0,7600,1,2,0,13,1
0,7600,2,2,0,26,1
0,7700,,2,,,1
0,7700,2,1,0,18,1
0,7700,2,2,0,18,1
0,7700,1,3,4,1,0
0,7700,1,2,0,20,0
0,7700,,2,,,1
0,7700,1,2,0,14,0
0,7700,1,1,0,17,0
1,7700,1,2,7,12,1
0,7700,2,2,0,35,1
0,7700,2,2,0,56,1
0,7700,2,2,0,17,1
0,7800,1,1,0,95,1
1,7800,2,2,0,44,0
0,7800,1,1,1,10,0
0,7800,2,0,,1,0
0,7800,1,3,2,11,1
0,7800,2,3,0,2,0
0,7800,2,2,0,10,0
0,7800,1,2,0,10,0
0,7800,1,2,0,27,0
0,7800,2,2,0,12,1
0,7800,1,2,0,2,0
0,7800,1,2,0,26,0
0,7800,1,2,0,29,0
0,7800,1,2,1,17,0
0,7800,2,2,0,22,0
1,7900,2,2,0,95,0
0,7900,1,2,0,11,1
0,7900,1,3,0,18,0
1,7900,2,2,,,0
0,7900,1,2,0,87,1
0,7900,2,1,0,1,1
0,7900,2,2,0,59,0
0,7900,2,1,0,55,1
0,7900,1,2,0,11,0
0,7900,2,2,0,18,1
0,7900,1,2,1,95,0
1,7900,1,3,0,80,1
0,7900,2,2,,28,0
0,7900,2,2,0,33,0
0,7900,,2,,,0
0,7900,1,2,0,20,0
0,8000,2,2,0,13,0
0,8000,1,2,0,25,0
0,8000,1,2,1,84,1
0,8000,1,2,0,2,0
0,8000,1,3,0,5,0
0,8000,1,2,0,11,0
0,8000,1,2,0,13,0
0,8000,1,3,,,0
1,8000,2,2,3,1,0
1,8000,1,2,0,34,0
1,8000,1,3,0,53,0
1,8000,2,2,1,13,0
1,8000,1,2,4,22,0
1,8000,2,3,0,,1
1,8000,1,1,0,10,0
1,8000,2,2,0,82,0
0,8000,2,2,0,92,0
0,8000,1,2,1,89,0
0,8000,1,3,0,75,0
0,8000,2,0,1,75,1
0,8000,1,2,0,,0
0,8000,2,2,1,22,0
0,8000,2,3,,,1
0,8000,1,1,0,20,0
0,8000,1,2,0,18,0
0,8000,1,2,0,73,0
0,8000,1,2,,14,0
0,8000,1,3,0,10,0
1,8000,2,2,2,17,0
1,8000,1,2,2,10,0
1,8000,1,2,1,32,1
1,8000,1,3,1,33,0
1,8000,1,2,3,14,0
1,8000,1,1,0,16,0
1,8000,2,2,0,79,1
0,8000,1,2,0,99,1
1,8000,1,1,3,15,0
0,8000,2,3,0,33,0
0,8000,2,2,1,13,0
0,8000,1,2,0,,0
0,8000,2,1,0,31,0
0,8000,2,2,,,0
0,8000,2,2,0,22,0
0,8000,2,1,0,53,0
0,8100,1,2,0,20,0
0,8100,2,3,0,9.1,0
0,8100,2,2,0,75,1
0,8100,2,1,0,3,0
0,8100,1,2,0,66,0
0,8100,1,2,0,29,0
0,8100,1,1,0,11,0
0,8100,2,2,0,78,0
0,8100,1,1,0,2,1
0,8100,1,2,0,89,0
0,8100,1,2,0,18,0
1,8100,1,2,1,82,1
0,8100,,2,,,0
0,8100,1,2,0,12,1
0,8100,2,2,0,18,0
0,8100,2,3,0,29,1
1,8100,1,2,0,13,1
0,8100,1,2,0,27,0
0,8100,1,2,0,99,1
0,8200,1,1,0,26,1
0,8200,2,2,,16,0
0,8200,2,1,0,2,0
0,8200,2,1,,41,1
0,8200,1,3,0,21,0
0,8200,1,0,1,17,0
0,8200,2,1,0,23,0
0,8200,,2,,,0
0,8200,1,2,0,13,0
0,8200,1,2,1,86,0
0,8200,1,2,0,11,0
0,8200,1,2,3,22,0
0,8200,1,2,2,11,0
0,8200,1,1,0,49,1
1,8200,1,2,0,,1
0,8200,2,2,0,3,1
0,8200,2,2,,30,1
0,8200,1,2,0,19,1
0,8200,2,2,0,12,0
0,8200,1,1,0,60,1
0,8200,2,1,0,30,1
0,8200,2,2,0,10,0
1,8200,2,2,0,10,0
0,8200,1,2,0,81,0
0,8200,1,1,0,69,1
0,8200,1,1,,,1
0,8200,1,2,4,21,1
0,8200,2,2,,,1
0,8200,2,1,0,17,1
0,8200,1,2,0,26,0
1,8300,1,2,2,214.1,0
0,8300,1,3,0,15,1
0,8300,2,1,0,86,0
0,8300,2,1,1,23,0
0,8300,2,2,0,32,0
0,8300,1,2,0,96,0
0,8300,2,2,0,19,0
0,8300,1,3,0,14,0
1,8300,2,2,,,1
0,8300,2,2,,30,1
0,8300,1,2,0,1,0
0,8300,1,3,0,22,0
0,8300,2,2,,97,1
0,8300,1,1,0,90,1
0,8300,2,2,0,13,1
0,8300,1,2,0,58,1
0,8300,1,1,0,24,0
0,8300,2,2,0,17,1
0,8300,1,3,0,24,0
1,8300,2,2,0,20,0
0,8400,1,2,1,29,0
0,8400,1,1,0,20,0
0,8400,1,2,3,20,1
0,8400,2,2,,17,1
0,8400,2,1,0,35,0
0,8400,2,2,,,0
0,8400,2,3,0,32,0
0,8400,2,2,2,13,0
0,8400,1,2,0,20,0
0,8400,1,2,0,98,1
0,8400,2,3,,19,0
0,8400,1,3,1,31,0
0,8400,1,2,,,1
0,8400,2,3,1,1,1
1,8400,1,2,2,18,0
0,8400,1,2,0,16,0
1,8400,1,1,5,314.5,0
0,8400,2,2,0,18,1
0,8400,2,2,,,0
0,8400,2,0,1,80,1
0,8400,1,2,0,21,0
0,8400,1,1,0,5,1
0,8400,1,2,0,11,0
0,8400,1,2,,,0
1,8400,2,2,4,32,0
0,8400,2,1,0,12,1
0,8400,2,1,,,0
0,8400,2,2,,42,0
1,8400,2,1,3,41.3,0
1,8400,1,0,0,21,0
0,8500,2,2,0,1,0
0,8500,2,2,1,76,0
0,8500,1,1,1,29,1
0,8500,1,1,0,20,0
0,8500,2,2,0,16,0
1,8500,1,1,0,89,0
0,8500,1,1,1,31,0
0,8500,1,2,0,22,1
1,8500,2,1,1,145.1,0
1,8500,2,3,1,306.4,1
0,8500,2,2,0,70,0
0,8500,1,3,0,17,0
0,8500,2,2,0,22,0
0,8500,1,2,0,26,1
0,8500,1,1,0,18,1
0,8500,2,2,0,19,0
0,8500,2,2,0,32,1
0,8500,2,2,0,20,0
0,8500,1,2,0,11,0
0,8500,2,3,0,3,0
1,8500,1,2,0,12,0
0,8500,2,3,0,31,1
0,8500,,1,,,0
0,8500,2,2,2,12,0
0,8500,1,3,0,12,0
0,8500,1,1,0,11,0
0,8600,1,2,0,89,0
0,8600,2,2,0,30,1
0,8600,,1,,,0
0,8600,1,2,0,19,1
1,8600,1,1,0,10,0
0,8600,2,2,0,23,0
1,8600,2,3,0,64,0
0,8600,1,1,0,11,0
0,8600,1,1,0,12,0
0,8600,1,2,0,23,0
0,8600,1,0,0,73,0
0,8600,2,1,0,87,0
0,8600,2,2,0,23,1
0,8600,2,2,0,35,0
0,8600,,2,,,0
0,8600,2,3,0,22,0
0,8600,1,2,0,18,0
0,8600,2,2,1,17,1
1,8600,1,1,0,17,0
0,8600,2,2,0,31,1
0,8600,1,3,0,16,1
0,8600,1,2,0,72,0
0,8600,1,2,0,21,1
0,8700,1,2,0,19,1
0,8700,2,3,0,17,0
0,8700,1,2,1,91,0
0,8700,1,2,0,24,0
0,8700,2,0,0,18,0
0,8700,2,2,0,13,1
0,8700,1,2,0,21,0
1,8700,1,2,0,35,0
0,8700,1,2,0,3,0
0,8700,1,2,0,68,0
0,8700,2,2,0,21,0
0,8700,1,2,3,11,0
0,8700,1,2,0,22,0
1,8700,2,3,0,10,0
0,8700,1,3,0,13,0
0,8700,2,2,,,0
0,8700,2,2,1,24,0
0,8700,2,2,1,2,0
0,8700,2,3,0,13,0
0,8700,1,1,,,1
0,8700,1,2,0,2,0
0,8700,1,3,0,98,1
0,8700,2,2,0,35,0
0,8700,1,2,0,2,0
0,8700,1,1,0,1,0
0,8700,2,2,0,10,1
0,8700,2,2,,91,0
0,8700,1,3,4,11,0
0,8700,1,2,0,25,1
1,8800,2,2,,,1
1,8800,1,3,6,25,0
1,8800,2,1,1,10,0
0,8800,1,3,0,27,1
0,8800,1,2,0,53,1
1,8800,2,3,1,13,0
0,8800,2,2,0,10,0
0,8800,1,3,0,11,1
1,8800,1,2,0,80,0
1,8800,1,2,0,74,1
0,8800,2,1,0,9,0
1,8800,1,2,0,108.9,0
0,8800,2,2,0,33,0
0,8800,2,2,,40,0
0,8800,,1,,,0
0,8800,1,2,0,27,0
0,8800,1,2,,12,0
0,8800,2,2,0,18,1
0,8900,1,2,0,27,0
1,8900,1,3,3,166.2,1
0,8900,2,2,0,32,0
0,8900,1,2,0,15,0
0,8900,1,3,0,16,0
0,8900,2,3,0,24,0
1,8900,1,1,0,68,0
0,8900,1,2,0,10,0
1,8900,2,2,8,12,0
1,8900,1,1,0,39,0
1,8900,2,2,2,70,0
1,8900,2,3,0,85,0
0,8900,2,2,1,56,1
0,8900,2,2,,11,1
1,8900,1,2,1,20,1
0,8900,1,1,0,14,0
0,9000,1,3,0,75,0
0,9000,1,2,0,12,0
0,9000,1,2,3,12,0
0,9000,1,2,0,1,0
1,9000,2,2,2,11,0
0,9000,2,2,0,35,0
0,9000,2,0,0,1,0
0,9000,1,1,0,2,0
0,9000,2,3,,41,1
1,9000,1,3,1,13,1
0,9000,1,2,0,26,1
0,9000,1,2,1,11,1
1,9000,1,2,0,80,1
0,9000,1,1,0,21,0
1,9000,1,2,0,93,0
1,9000,1,0,0,50,1
0,9000,1,0,0,101.4,0
0,9000,1,3,0,21,0
0,9000,2,2,0,35,0
0,9000,1,2,1,22,0
0,9000,1,1,,117.6,1
0,9000,1,3,2,194.8,0
0,9000,1,1,0,131.9,1
0,9000,,2,0,243.2,0
1,9000,1,2,3,73,0
1,9000,2,3,2,12,0
0,9000,2,2,0,12,1
1,9000,2,3,,,0
0,9000,1,2,0,61,0
0,9000,1,2,0,10,0
0,9000,1,3,,11,0
0,9000,,2,,,1
0,9000,2,3,0,10,0
0,9100,,2,,,0
0,9100,2,2,0,33,1
0,9100,1,2,0,89,0
1,9100,1,2,1,11,1
0,9100,2,2,1,22,0
0,9100,1,2,3,11,0
1,9100,2,3,0,51,0
1,9100,1,2,0,18,0
1,9100,2,2,0,10,0
0,9100,1,2,0,28,0
0,9100,2,1,2,13,0
0,9100,2,2,0,93,1
0,9100,,2,,,1
0,9100,2,1,0,92,0
0,9100,1,2,0,92,0
0,9100,2,1,1,24,0
0,9100,2,2,0,20,0
0,9200,1,2,,12,0
0,9200,2,3,0,1,0
0,9200,2,1,1,22,1
0,9200,1,2,0,0.4867114508,1
0,9200,1,1,0,192.8,1
1,9200,1,2,0,12,1
1,9200,1,2,0,14,0
0,9200,1,2,0,10,0
0,9200,1,1,0,12,0
0,9200,1,1,1,11,0
0,9200,1,2,4,21,0
0,9200,1,2,0,21,0
0,9300,1,2,0,6,0
0,9300,1,0,0,99,0
0,9300,,2,0,23,0
0,9300,1,2,0,2,1
0,9300,2,2,0,3,0
0,9300,1,2,0,13,1
0,9300,2,2,,92,0
0,9300,1,1,0,10,0
0,9300,1,3,0,10,0
0,9300,2,2,1,2,0
0,9300,2,1,,30,1
0,9300,1,1,,1,0
0,9300,1,2,0,1,1
1,9300,1,2,0,41,1
1,9300,1,1,2,88.5,1
1,9300,1,2,1,14,0
0,9300,1,3,,,0
0,9300,2,3,1,245.9,0
0,9300,2,2,0,30,0
0,9300,1,0,0,,0
0,9300,1,2,0,2,1
1,9300,1,2,0,91,0
0,9300,2,2,2,13,0
0,9300,2,3,,29,1
0,9300,1,2,,,0
0,9300,1,2,1,18,1
0,9400,1,2,0,17,0
0,9400,1,1,0,10,0
0,9400,2,1,,9,0
0,9400,2,3,0,12,0
1,9400,2,1,0,14,0
0,9400,1,2,0,10,0
0,9400,1,2,0,14,0
0,9400,2,2,0,33,1
0,9400,2,2,0,3,0
0,9400,1,2,0,17,0
0,9400,2,3,0,80,0